function	S1_S16	S2_S16	S3_S16	S4_S16	S5_S16	S6_S16	S1_m	S2_m	S3_m	S4_m	S5_m	S6_m
K00057	7261.61	9510.86	10378.41	9470.1	11192.73	11639.92	11720	11578	12892	10420	11955	11809
K00058	11696.93	15124.13	18553.19	15931.11	20462.49	20006.72	21329	20346	23462	18312	21756	20753
K00059	36779.55	50499.47	59655.46	52779.07	64677.85	65749.82	69543	64054	76497	57648	70934	65335
K00060	423.27	1470.52	728.18	1204.75	528.4	525.12	349	499	383	449	356	509
K00061	1	0	0	1	0	2	0	4	0	4	0	5
K00064	1622.29	2075.75	3591.38	2437.2	8372.22	9353.82	9051	7539	9956	6785	9232	7690
K00065	1098.81	2129.86	2665.85	2195.71	1827.57	2024.94	2167	1663	2383	1496	2210	1696
K00066	1865.59	2807.58	4131.07	2579.66	6536.05	6222.31	7517	5935	8268	5342	7667	6054
K00067	6490.41	10369.35	13427.01	11059.73	17168.89	17424.21	18843	17129	20728	15417	19220	17472
K00068	56.88	193.46	71.83	86.34	44.58	53.24	10	25	11	23	10	25
K00073	356.64	204.14	93	438.29	60.79	28.14	11	338	13	304	12	345
K00074	8152.47	9230.83	9559.85	10241.78	4762.31	3913.85	4626	5697	5088	5128	4718	5811
K00075	7179.78	9409.03	10222.67	9268.2	11042.59	11545.11	11691	11352	12860	10217	11925	11580
K00076	281.22	1267.16	240.52	308.51	245.67	88.5	79	129	87	116	81	131
K00077	7996.18	11780.83	14697.36	13013.08	18077.06	17272.14	20421	17777	22464	15999	20830	18132
K00082	114.5	49	110.75	230.5	49.99	39.5	51	110	56	99	52	112
K00086	19.5	21.5	26.33	18.46	17.63	38.58	15	9	17	8	16	9
K00087	16.04	4.25	0	3.25	3	1	1	4	1	4	1	5
K00088	7708.45	9764.28	11545.41	11398.11	14956.22	18079.1	16205	16298	17826	14669	16530	16624
K00090	5525.68	7175.42	8031.36	6397.3	8629.08	8027.44	9336	8046	10269	7242	9522	8207
K00091	1262.83	1696.21	1613.33	1584.33	889.25	955.82	1000	1102	1100	992	1020	1125
K00094	5.24	23.97	24.37	8.95	6.8	19.64	2	2	3	2	3	2
K00096	62.18	72.67	90	92.15	45.47	14	15	81	17	73	15	82
K00097	9366.46	12027.27	14839.17	10117.49	20990.87	19302.56	22286	18778	24515	16900	22732	19154
K00098	494.1	698.56	1205.5	975.28	1268.34	1331.27	1485	1081	1633	973	1514	1103
K00099	6752.71	9457.82	10660.07	8840.08	10798.68	11255.11	11477	11092	12625	9983	11707	11314
K00100	12058.25	13406.37	13579.11	12826.54	27149.66	26246.45	29898	24895	32888	22405	30496	25393
K00101	5612.59	5985.9	8367.16	6269.5	3701.45	3177.58	3244	4226	3569	3803	3309	4310
K00102	1201.63	1005.7	2571.65	1395.73	1357.87	718.6	857	1168	943	1051	875	1191
K00103	129	133	130.25	422.33	60.5	57	86	128	95	116	88	131
K00104	3961.16	4613.59	6849.33	5884.99	8258.62	7060.81	8444	8352	9288	7517	8613	8519
K00105	17.33	125.08	13.92	29	36.16	13.33	5	182	6	164	5	186
K00106	7.5	0	16	7	2	0	3	25	4	23	4	26
K00107	17	32	19	30	3	1	2	29	3	27	3	30
K00108	8253.44	9830.11	13465.87	11681.09	10889.32	10134.63	11642	10828	12806	9746	11875	11045
K00109	32	71	21	174	18	25	25	77	28	70	26	79
K00111	7628.68	9825.02	12133.72	10994.68	12099.95	12618.16	13177	12130	14495	10917	13441	12372
K00112	72.92	152.55	102.52	69.88	39.43	51.45	20	68	22	61	21	69
K00113	86.09	154.88	160.19	119.03	46.59	53.28	22	80	24	72	22	81
K00114	956.1	2092.97	1412.1	1947.14	1336.89	948.09	1261	1573	1387	1416	1286	1605
K00116	7342.27	8713.92	12139.59	10094.59	16330.45	17064.02	18471	15816	20318	14235	18840	16133
K00117	7333.61	8223.82	7672.1	8893.28	8808.25	8524.94	9347	8428	10282	7585	9534	8596
K00118	58.75	104.83	158.33	163.39	53.75	50.34	25	158	28	142	26	161
K00121	9287.1	10824.43	11756.42	9434.33	10189.64	9277.78	10282	9878	11310	8890	10487	10075
K00122	327.19	243.34	299.42	478.28	320.67	140.01	198	231	218	208	202	236
K00123	4761.37	4461.78	7939.09	9473.07	4187.52	3472.87	3632	5848	3995	5263	3704	5965
K00124	2552.89	2576.52	4557.87	4794.87	2620.87	2077.4	2468	3567	2714	3210	2517	3638
K00126	1100.64	1327.71	1634.88	2431.87	1352.21	1158.72	1377	1578	1514	1421	1404	1610
K00127	2224.6	2183.01	4157.73	4582.22	2540.56	2135.06	2443	3395	2687	3055	2492	3463
K00128	15589.56	20429.39	29500.08	22221.49	28160.66	25243.62	29973	26198	32970	23578	30572	26722
K00129	6.67	0.5	0.33	6.67	0.17	6.33	2	11	2	10	2	11
K00130	8806.93	10081.01	10804.25	11054.56	9929.49	9199.11	10822	9958	11904	8962	11038	10157
K00131	3108.69	3368.5	4460.4	3363.43	6662.64	6409.47	7642	6230	8406	5607	7795	6355
K00132	35	90	28	15	22	1	3	47	4	43	4	48
K00133	7405.86	9852.78	10516.84	9732.24	11255.18	11654.27	11771	11669	12948	10502	12006	11902
K00134	12504.41	16268.09	16439.34	15913.5	18694.26	18899.8	20062	19146	22069	17232	20464	19529
K00135	14868.48	16693.17	20658.54	18350.66	27326.31	28520.38	29783	26528	32762	23875	30379	27058
K00137	1700.62	3064.61	4119.82	3137.87	1388.06	1391.43	1816	2081	1997	1873	1852	2123
K00138	6638.4	7643.22	8617.47	8661.41	9598.08	9360.98	10666	9715	11732	8744	10879	9910
K00140	11040.48	12998.78	17616.44	13247.02	17762.26	16830.66	19296	17091	21226	15382	19682	17433
K00141	826.78	557.98	2144.04	1470.2	1208.35	721.86	786	996	865	896	802	1016
K00145	8223.67	11217.91	13097.2	11875.23	12296.76	12865.46	13233	13192	14556	11873	13497	13456
K00146	3090.92	3977.44	4961.25	3808.14	1723.2	1481.86	1981	1949	2179	1754	2021	1988
K00147	6651.42	9087.09	9861.53	8558.97	10925.84	11414.26	11360	11122	12496	10009	11588	11344
K00148	2105.14	2960.92	4288.66	4166.01	7380.68	7511.78	8832	7208	9715	6487	9009	7352
K00150	73.2	113.2	76.07	174.84	55.9	33.57	37	49	41	44	38	50
K00151	977.79	1739.81	2659.9	1673.2	1044.51	751.09	1096	852	1206	767	1118	869
K00153	186.34	80.25	269.25	581.5	751.21	1022	1150	915	1265	824	1173	934
K00154	7737.79	9403.23	9594.41	6327.77	14209.66	13206.02	15403	12731	16943	11458	15711	12986
K00156	1250.94	3092.47	2783.72	4280.96	2908.47	4395.97	3218	3669	3540	3302	3283	3742
K00158	365.83	244.83	233.58	438.75	119.58	35.25	42	227	46	204	43	232
K00161	6478.55	8621.37	8882.74	9945.34	11440.05	12236.67	12613	11826	13874	10644	12865	12063
K00162	6377.72	8435.37	8777.58	9610.69	11390.25	12220.52	12592	11708	13851	10537	12843	11942
K00163	7098.57	9917.22	14042.7	10311.24	12470.34	13038.86	13639	12567	15002	11310	13911	12818
K00164	7025.01	8962.81	10054.47	9446.17	11060.79	11682.14	11729	11351	12902	10216	11963	11578
K00166	1753.19	2292.72	3334.58	3618.59	1927.51	1663.76	1798	2043	1978	1839	1834	2084
K00167	1836.86	2380.72	3348.92	4230.94	2030.21	1836.11	1935	2260	2129	2034	1974	2305
K00169	139.33	284.83	104	72.83	56	14	29	93	32	84	30	95
K00170	139.33	291.83	64	83.83	51	16	23	103	25	93	23	106
K00171	45.33	105.33	23	10.33	16	5	5	16	6	15	6	17
K00172	132.33	276.83	104	80.83	55	17	28	105	31	95	29	108
K00174	1195.22	1230.01	1113.06	2286.33	769.4	412.84	629	912	692	821	642	930
K00175	1188.22	1186.01	1089.06	2278.33	768.4	411.84	630	906	693	815	643	924
K00176	50	98.67	59.25	38	17	17.75	13	49	14	44	13	50
K00177	53	98.67	59.25	47	20	17.75	13	47	14	42	13	48
K00179	119.33	140.5	194.25	225	613.67	318.91	454	369	499	332	463	376
K00180	113.33	134.5	192.25	210	588.67	302.91	432	351	475	316	441	358
K00183	4	0	7.67	16.34	3	2.67	0	3	0	3	0	3
K00184	781.44	1760.67	1160.31	1402.1	617.28	471.98	521	1063	573	957	532	1084
K00185	713.85	1657.59	1115.3	1320.03	580.59	472.63	510	1023	561	921	520	1043
K00186	2	0	0	0	0	2	0	1	0	1	0	2
K00187	2	0	0	0	0	2	0	1	0	1	0	2
K00194	568.7	397.5	1837.5	91.5	262.7	58.5	73	253	81	228	75	258
K00196	1	1.67	0	0	0	0	0	0	0	0	0	0
K00197	25	51	23	3	6	2	2	13	3	12	3	14
K00198	23	102	42	6	13	0	0	10	0	9	0	11
K00200	68.37	45.67	141.16	165.49	220.17	104.34	120	139	132	125	123	142
K00201	68.37	45.67	120.16	164.49	220.17	104.34	120	139	132	125	123	142
K00202	68.37	45.67	120.16	164.49	220.17	104.34	120	139	132	125	123	142
K00207	1	0	0	2	0	0	0	0	0	0	0	0
K00208	7025.9	7254.63	10572.09	7920.35	10794.95	11336.09	11388	10853	12526	9767	11615	11070
K00209	1120.63	3077.56	2979.94	2423.66	1565.51	1561.82	1640	1802	1804	1622	1673	1838
K00210	35.91	53.67	78.24	55.77	40.61	41.71	11	65	12	59	11	66
K00211	4	17	94	61.5	21.5	27	12	9	14	9	13	10
K00213	0	0	8	3	0	0	0	0	0	0	0	0
K00214	49	83	50	118	15.5	25.5	24	8	27	8	25	9
K00215	7590.95	9889.03	10689.12	9835.62	11540.26	12116.61	12170	11967	13386	10771	12413	12207
K00216	1604.57	1268.96	1036.16	1306.9	882.12	797.71	626	666	689	599	639	679
K00217	292	391.25	281.5	369.5	372.25	474.34	449	386	494	347	458	394
K00218	51	83	50	151.5	15.5	25.5	25	24	28	22	26	25
K00219	7316.26	8960.37	6874.41	7134.47	8283.87	8097.2	9123	7813	10035	7032	9305	7969
K00220	485.42	404.5	573.33	705.86	404.72	241.3	124	206	137	185	127	210
K00221	3.2	0.2	0.4	16.5	5.4	3.4	7	5	7	5	7	5
K00222	1	10	0	9	0	0	1	0	2	0	2	0
K00226	490.32	478.38	341.2	519.7	140.48	73.05	56	422	61	380	57	431
K00227	13	42.5	9	58.5	22	6.5	3	3	4	3	4	3
K00228	6100.36	8153.23	8831.5	7487.78	8883.06	8281.16	9277	8469	10205	7622	9463	8638
K00230	236.42	334.72	787.24	993.78	1506.96	1837.13	1860	1709	2046	1538	1898	1743
K00231	850.33	687.92	1190.05	1831.27	2042.39	3258.99	2292	2679	2521	2411	2338	2732
K00232	221.79	126.28	625.89	715.12	1855.69	3184.14	2196	2310	2416	2079	2240	2356
K00239	7490.01	9609.4	10622.71	10535.67	12184.11	12855.38	13217	12616	14538	11355	13481	12868
K00240	7433.54	9543.15	10617.71	10113.03	11859.15	12631.08	12969	12339	14265	11105	13228	12585
