function	S1_S16	S2_S16	S3_S16	S4_S16	S5_S16	S6_S16	S1_m	S2_m	S3_m	S4_m	S5_m	S6_m
K06365	0.5	0	0	0	0	0	0	0	0	0	0	0
K06368	0	14	0	0	0	2	4	0	5	0	5	0
K06370	16.5	19.5	83.25	41.75	9.5	2	12	12	13	11	12	13
K06371	14	19.5	80	35	8	1	11	15	13	14	12	16
K06372	6	0	42	28	8	0	7	2	8	2	8	3
K06373	22.5	38.17	91.25	51.25	11.5	4	15	23	17	21	16	23
K06374	22.5	38.17	91.25	51.25	12.5	5	15	23	17	21	16	23
K06375	18.68	27.5	45.25	46.57	9.5	2	12	10	13	9	12	11
K06376	7	12.5	0	2	15	1	14	9	16	9	15	10
K06377	147.42	318.26	115.85	355.17	50.64	25.03	26	91	28	82	26	93
K06378	197.5	250.17	232.25	615.75	77.8	60	92	264	101	238	94	269
K06379	26.5	31.17	83.25	53.75	12.5	6	15	47	16	43	15	48
K06380	6.5	10.5	3.25	3.75	7.5	1	10	3	11	3	10	4
K06381	214.5	320.01	343.75	578.75	108	87.5	113	232	125	209	116	237
K06382	24.5	31.17	83.25	45.75	10.5	2	12	19	13	18	12	20
K06383	24.5	21.17	83.25	51.75	9.5	4	12	19	13	18	12	20
K06384	23.5	29.17	121.25	44.75	8.5	3	14	25	15	23	14	26
K06385	28	39.84	86.5	52.5	11	5.67	14	35	16	32	14	36
K06386	19.5	19.5	83.25	44.75	10.5	3	12	17	13	16	12	18
K06387	24.5	31.17	83.25	51.75	10.5	4	12	19	13	18	12	20
K06388	0	7	0	3	0	1	2	1	3	1	3	2
K06390	20.5	31.17	83.25	44.75	9.5	3	12	18	13	17	12	19
K06391	20.5	21.17	83.25	43.75	8.5	3	12	18	13	17	12	19
K06392	24.5	31.17	83.25	51.75	10.5	4	12	19	13	18	12	20
K06393	20.5	31.17	83.25	44.75	9.5	3	12	18	13	17	12	19
K06394	24.5	31.17	83.25	50.75	10.5	4	12	19	13	18	12	20
K06395	20.5	21.17	83.25	37.75	8.5	1	12	17	13	16	12	18
K06396	24.5	31.17	83.25	51.75	10.5	4	12	19	13	18	12	20
K06397	24.5	31.17	83.25	51.75	10.5	4	12	19	13	18	12	20
K06398	26.5	38.17	83.25	53.75	12.5	7	15	21	16	19	15	22
K06399	26.5	38.17	83.25	53.75	12.5	7	15	21	16	19	15	22
K06400	84.88	247.5	38.39	117.78	54.7	9.01	8	38	9	35	8	39
K06401	15.5	19.5	83.25	37.75	8.5	1	12	16	13	15	12	17
K06402	21.5	21.17	83.25	52.75	11.5	5	13	21	14	19	13	22
K06403	20.5	22.5	83.25	34.75	9.5	0	10	15	11	14	10	16
K06404	20.5	22.5	83.25	34.75	9.5	0	10	15	11	14	10	16
K06405	30	38.17	86.5	62.5	13	7	18	25	20	23	19	26
K06406	33	38.17	86.5	62.5	13	7	18	29	20	27	19	30
K06407	39.5	57.67	89.75	71.25	20.5	8	30	33	32	30	30	34
K06408	28.5	49	125.25	80.75	19.5	6	23	26	25	24	23	27
K06409	45.83	76.17	163.91	80.4	24.8	17.65	21	76	23	69	21	78
K06410	25.5	28.5	83.25	51.75	9.5	4	12	22	13	20	12	23
K06411	24.5	19.5	83.25	51.75	10.5	6	12	18	13	17	12	19
K06412	463.48	228.17	308.81	742.22	94.79	32.67	45	87	50	78	46	89
K06413	15.5	28.17	83.25	43.75	8.5	4	14	17	15	16	14	18
K06415	161.66	196.84	337.9	403.89	123.64	113.32	142	282	156	254	145	288
K06416	34.98	34.84	93.23	60.99	11.7	7	15	22	17	20	16	22
K06417	15.5	19.5	83.25	37.75	8.5	1	12	16	13	15	12	17
K06418	21.5	10.5	48.5	34.5	16	1	17	5	19	5	18	6
K06419	14.5	19.5	51.75	38.25	9.5	1	13	9	14	9	13	10
K06421	8	12.5	0	5	7	0	9	8	10	8	10	9
K06422	18.5	19.5	45.25	43.75	10.5	3	12	11	13	10	12	12
K06423	19.5	21.17	83.25	50.75	9.5	4	12	18	13	17	12	19
K06425	29.5	21.5	83.25	45.75	16.5	1	19	26	21	24	19	27
K06426	19.5	21.17	83.25	44.75	10.5	3	12	16	13	15	12	17
K06428	8	19.5	0	8	7	1	11	9	13	9	12	10
K06429	8	12.5	0	5	7	0	9	8	10	8	10	9
K06431	8	12.5	0	8	7	0	9	9	10	9	10	10
K06432	7.5	3.5	0	5	7	0	9	4	10	4	10	5
K06433	14.5	3.5	83.25	37.75	8.5	0	10	12	11	11	10	13
K06434	19.5	19.5	83.25	44.75	9.5	2	12	17	13	16	12	18
K06436	15.5	21.17	83.25	37.75	9.5	2	12	17	13	16	12	18
K06438	24.5	31.17	83.25	51.75	10.5	4	12	19	13	18	12	20
K06439	11	18	0	3	7	0	9	12	10	11	10	13
K06440	14	18	0	3	14	0	16	14	18	13	17	15
K06442	2013.86	2095.96	3777.68	3331.37	3282.86	3925.17	2955	4116	3250	3705	3014	4198
K06443	400.8	169.5	370.3	1981.97	287.08	431.17	316	429	348	386	322	437
K06445	4987.82	7229.88	7366.91	6382.29	8173.81	8085	9095	7791	10004	7012	9276	7947
K06446	3635.66	3413.33	2671.08	2135.54	703.12	281.64	369	327	406	295	376	334
K06447	3817.29	4612.22	4913.32	4994.1	6901.97	6716.09	7813	6497	8595	5847	7970	6627
K06493	9	11.5	13	73.5	12	3.5	3	8	4	8	4	9
K06518	4398.96	5009.83	5440.77	4550.25	2047.45	1712.68	1782	2300	1960	2070	1818	2346
K06580	3	21	0	0	1	0	1	4	2	4	2	5
K06591	0.67	0	3.25	6.5	1	0	2	0	2	0	2	0
K06595	19.86	44.5	83.25	47.39	4.5	3	5	16	5	15	5	17
K06596	5481.43	6818.13	7932.9	7100.84	8535.88	8229.21	9302	8492	10233	7643	9488	8662
K06597	96.3	954	340.32	332.8	314.48	306.15	182	184	200	166	186	188
K06598	1952.74	3732.58	4415.74	3186.31	6895.68	6645.61	7765	6230	8541	5607	7920	6355
K06599	254.4	738.2	1547.83	345.45	354.74	296.89	433	265	476	239	442	270
K06600	277.3	757.28	1565.2	360.17	404.82	331.71	481	329	529	296	491	336
K06601	357.62	284.5	544.16	543.52	338.47	219.13	104	111	115	100	107	113
K06602	348.12	270.5	529.66	527.52	336.47	219.13	104	111	115	100	107	113
K06603	2068.94	3227.9	4449.15	3382.71	6948.69	6585.1	7868	6524	8655	5872	8025	6655
K06604	0	29.17	0	0	0	0	0	0	0	0	0	0
K06605	823.46	1369.64	2048.92	1517.67	390.41	370.37	499	427	549	384	509	435
K06606	1804.46	2571.84	3664.2	2166.22	5871.8	5616.67	6687	4978	7356	4480	6821	5078
K06607	0	7	0	0	0	1	2	0	3	0	3	0
K06608	1.5	16	0.25	0.5	2	1	2	8	3	8	3	9
K06609	189.96	111.69	119.74	436.78	662.1	1007.52	1072	810	1179	729	1093	827
K06610	42.25	32.67	80.25	147.58	632.5	935	1026	783	1128	705	1046	799
K06689	2	0	0	3	2	1	2	3	3	3	3	4
K06714	20.67	40.64	26.5	26.66	17.49	22.67	12	12	13	11	12	13
K06718	96.24	92.84	186.26	299.81	93.89	57.17	56	52	62	47	57	53
K06720	223.74	565.84	1153.26	455.81	125.89	89.17	80	82	88	74	82	84
K06726	2380.44	3150.46	4461.28	3841.44	7406.69	7451.29	8805	6990	9686	6291	8981	7130
K06790	0	0	0	0.33	0	0	0	0	0	0	0	0
K06857	157.55	228.65	188.95	271.25	295.17	122.67	211	189	232	170	215	192
K06858	1084.25	2013.35	2682.09	2530.49	1139.64	1220.24	1468	1499	1615	1349	1497	1529
K06859	6.8	3.25	18.76	11.11	18.8	13.04	15	13	17	12	15	14
K06860	263.34	164.25	710.25	815.66	3188.91	5867.5	3901	4038	4291	3634	3979	4118
K06861	6548.86	8950.73	9338.08	8089.45	9241.9	8503.74	9533	9019	10486	8117	9723	9199
K06862	43	97	28	22.5	25	4.5	4	58	4	53	4	60
K06863	28	60	22	68	64	2	8	68	9	62	9	70
K06864	618.5	794.84	531.4	918.3	298.23	133.65	125	452	137	407	127	461
K06865	14	30	11	34	32	1	4	34	5	31	5	35
K06866	145.4	181.88	123.91	424.14	35.29	66.13	22	17	25	15	23	17
K06867	7325.06	10846.25	15372.12	9426.24	16187.96	15057.71	17715	14842	19486	13358	18069	15139
K06869	14	30	11	34	32	1	4	34	5	31	5	35
K06871	819.46	1400.26	1214.19	1625.83	523.27	589.79	560	1066	615	960	571	1088
K06872	6806.5	9626.72	10553.77	6970.49	9878.87	9128.16	10552	9505	11607	8554	10763	9695
K06873	64.5	96	71.33	137.17	30.5	42.5	28	33	30	30	28	34
K06875	14	30	11	34	32	1	4	34	5	31	5	35
K06876	1282.18	2448.96	3784.75	1948.32	1449.7	1560.41	1804	2023	1984	1821	1840	2064
K06877	480.35	560.25	1050.41	1481.8	2366.18	3558.65	2427	2895	2670	2605	2476	2953
K06878	3397.34	4127.32	3911.08	3035.99	1436.54	1117.4	1136	1498	1249	1348	1159	1528
K06879	5255.94	6962.73	7523.34	5500.86	8094.17	7542.02	8701	7495	9571	6746	8875	7645
K06880	28.33	233.67	75.16	68.06	20.44	36.15	147	83	162	75	150	84
K06881	1172.42	1970.21	1322.59	2201.58	713.6	501.81	610	1232	671	1109	622	1257
K06883	420.98	2266.84	709.63	814.97	220.38	169.94	139	376	153	338	142	383
K06884	1731.94	2448.78	3199.87	4955.18	1256.87	1588.39	1628	2468	1791	2221	1661	2517
K06885	800.85	1302.08	864.89	1595.92	421.38	360.82	476	649	523	584	485	662
K06886	5082.33	7501.61	9630.18	7564.77	10522.45	10709.78	10832	10680	11915	9612	11049	10893
K06887	1074.5	1622.54	2562.32	1373	5498.69	5241.14	6201	4620	6822	4158	6325	4713
K06888	1107.8	2034.09	1624.22	2251.22	820.58	569.63	554	1319	609	1187	565	1345
K06889	13791.63	21465.38	26140.12	21251.34	31136.07	29531	34923	29850	38416	26865	35622	30447
K06890	1131.87	926.28	1315.86	2260.03	924.74	737.76	604	698	665	628	616	712
K06891	6782.86	8984.82	10003.31	8900.4	10987.38	11599.38	11679	11249	12847	10124	11913	11474
K06893	2505.18	3300.55	4010.5	4919.32	7788.23	7643.24	8832	7441	9715	6697	9008	7590
K06894	3514.99	5904.99	7639.42	6574.18	8294.88	7789.2	8775	7964	9653	7167	8951	8123
K06895	7394.08	7999.86	10696.92	8486.53	16228.49	16620.52	17947	15342	19742	13808	18306	15649
K06896	25.08	140.88	52.87	26.77	41.06	9.3	8	182	9	164	8	186
K06897	122.04	225.13	134.26	125.95	77.66	45.13	22	108	24	98	22	111
K06898	633.5	801.84	521.07	929.63	296.73	131.65	127	470	140	423	130	479
K06899	2085.95	3215.35	4284.03	3641.95	6642.44	6458.53	7640	6220	8404	5598	7793	6345
K06900	254.38	323	234	160.5	392	491	508	387	559	349	519	395
K06901	7048.9	8650.86	10103.06	11050.62	11709.26	12705.46	12847	12164	14132	10948	13104	12407
K06902	919.69	1527.92	1448.36	1856.78	1669.56	2516.67	1443	1795	1588	1616	1472	1831
K06903	1494.02	3213.65	4638.66	3696.11	2513.32	2825.93	3134	3380	3447	3042	3197	3447
K06904	1571.42	1535.72	2146.02	1415.77	5900.2	5490.74	6315	4807	6946	4326	6441	4903
K06905	1264.24	2541.84	3923.61	2797.69	1367.31	1331.12	1682	1683	1850	1515	1715	1716
K06906	1222.53	2686.31	3898.92	2792.31	1317.81	1296.19	1646	1725	1810	1553	1678	1760
K06907	1752.04	3581.27	4844.31	4957.9	2773.59	3350.37	3836	3728	4219	3356	3912	3803
K06908	1248.25	2685.98	3908.75	3171.45	1315.31	1394.52	1648	1739	1812	1566	1680	1774
K06909	121.78	242.82	323.45	112.89	42.1	25.07	30	21	33	19	30	22
K06910	2732.28	4779.25	6275.58	4433.62	4092.4	5206.9	4323	4883	4756	4395	4410	4981
K06911	23235.52	28466.55	32304.7	25018.73	29888.46	29159.72	32134	29558	35347	26603	32777	30150
K06912	84.5	22	160.5	76.5	39	9	19	80	21	72	20	82
K06913	1.5	2	8.5	1.5	0	0	2	14	2	13	2	15
K06914	2	0	0.33	1.65	0	0.67	0	1	0	1	0	1
K06915	6885.07	8582.66	9589.13	9602.22	10764.98	10833.08	10781	10240	11859	9216	10996	10445
K06916	8676.8	11919.69	15463.06	11914.29	18075.55	18470.61	20044	17653	22048	15888	20445	18006
K06917	1883.47	2405.68	4794.1	3488.66	1897.78	1582.38	2111	2502	2323	2252	2154	2552
K06918	477.68	637.27	461.85	890.41	363.26	286.76	132	134	146	121	135	137
K06919	2280.04	2639.5	5139.76	3177.34	6211.67	5655.36	6638	5873	7302	5286	6771	5991
K06920	7131.14	9456.83	10697.79	8528.85	9100.52	8213.03	9402	8825	10343	7943	9591	9002
K06921	16	22	98.75	21	7.5	24.75	5	21	5	19	5	22
K06922	6	0	17	8	4	1	2	3	3	3	3	4
K06923	5743.38	6229.13	7767.65	5906.12	8244.3	7448.22	8711	7698	9582	6929	8885	7852
K06925	6979.61	9261.53	10006.76	9047.68	10844.46	11411.31	11617	11447	12778	10302	11849	11676
K06926	28.91	49.58	134	54.75	45.34	36.16	41	40	46	36	42	41
K06928	1	0	0	0	0	0	0	2	0	2	0	3
K06929	1291.17	1957.52	2029.52	2782.73	2030.38	2754.55	1696	2431	1866	2188	1730	2480
K06931	0	7	0	3	0	1	2	1	3	1	3	2
K06932	14	30	11	34	32	1	4	34	5	31	5	35
K06934	440.85	420.81	280.83	618.68	448.35	306.45	476	392	524	353	486	400
K06936	0	0	21	1	0	0	0	0	0	0	0	0
K06937	130.08	232	225.66	372.65	107.8	160.15	200	182	220	164	204	186
K06938	8492.57	10341.12	15396.71	9687.66	15872.54	14566.95	17259	14568	18985	13111	17604	14859
K06940	11707.16	15363.14	22127.09	14935.99	23753.11	22209.84	26387	23031	29026	20728	26915	23492
K06941	7410.46	9558.45	10698.64	9822.47	11536.52	11836.31	12022	11997	13224	10797	12262	12237
K06942	7375.28	9772.36	10426.42	9559.95	11246.76	11595.44	11720	11611	12891	10450	11954	11843
K06944	16	35.67	12.66	37.32	32.67	1.67	5	39	5	35	5	40
K06945	1126.07	1767.41	1725.31	1592.34	3620.47	5414.87	4430	4228	4873	3805	4518	4312
K06946	43.29	46.17	95.49	52.32	25.17	25.17	10	14	11	13	10	14
K06947	14	30	11	34	32	1	4	34	5	31	5	35
K06948	420.04	256.88	275.1	702.77	103.18	36.05	52	217	57	195	53	221
K06949	6581.41	9466.36	10110.84	8536.33	12210.34	14335.14	13526	13183	14878	11865	13796	13447
K06950	5203.16	7502.03	10714.82	7546.71	13833.97	12959.95	15606	13147	17167	11832	15919	13410
K06952	507.29	811.17	1519.33	765.78	397.97	286.63	176	216	194	194	180	220
K06953	482.42	444	710.33	854.36	699.72	515.3	292	337	322	304	298	344
K06954	1778.92	2466.04	936.74	1123.02	956.58	932.51	791	832	870	749	806	848
K06955	2819.97	3470.41	6477.17	3421.3	7161.91	6510.29	7974	6595	8771	5935	8133	6727
K06956	3330.8	3915.02	3610.13	3970.87	1682.6	1775.45	1961	2237	2158	2013	2001	2281
K06957	182.23	364.88	125.08	472.31	47.29	97.63	28	33	31	30	29	34
K06958	6559.36	8138.36	9102.02	8083.62	10385.61	11086.22	11305	10861	12435	9775	11531	11079
K06959	6565.33	8610.19	9190.59	8464.01	9743.47	9352.74	10564	9665	11620	8699	10775	9859
K06960	812.53	1229.63	1275.34	2093.43	2278.2	3392.03	2403	3185	2643	2867	2451	3249
K06961	14	30	11	34	32	1	4	34	5	31	5	35
K06962	511.88	428.22	379.51	867.92	117.69	62.3	65	283	72	255	67	289
K06963	14	30	11	34	32	1	4	34	5	31	5	35
K06965	14	30	11	34	32	1	4	34	5	31	5	35
K06966	14230.28	19223.42	21287.83	18258.08	21062.2	20886.62	22470	21597	24717	19438	22919	22029
K06967	2745.72	4006.1	5117.88	4304.69	6929.88	6625.51	7977	6539	8774	5886	8136	6670
K06968	2145.75	3301.85	4509.23	3700.45	6931.97	6779.74	7816	6374	8598	5737	7972	6502
K06969	8334.12	13616.26	17396.86	12648.43	21895.63	20433.11	24029	20743	26432	18669	24510	21158
K06970	2574.08	4122.35	4591.59	4016.03	6769.8	6628.24	7809	6192	8590	5573	7965	6316
K06971	153.22	131.39	109.87	299.5	71.72	80.41	62	78	68	71	63	80
K06972	2376.83	2240.04	910.57	1311.74	574.83	564.61	488	568	536	511	497	579
K06973	827.51	1260.33	944.9	1547.98	441.46	387.25	451	797	496	717	460	812
K06974	30	56	21	88	14	90	305	56	336	51	312	58
K06975	6747.15	8442.22	7566.34	8426.51	10564.73	11696.79	12113	10446	13325	9402	12355	10655
K06976	206.1	102.92	656.75	764.4	1819.97	3148.5	2165	2249	2382	2024	2209	2294
K06977	98.5	931	315	263	313	313	183	189	201	171	187	193
K06978	1937.19	4793.06	4060.71	3863.8	1817.2	1560.85	1929	1847	2122	1662	1968	1884
K06979	55.17	128.17	35.33	167.5	28.84	2.33	4	6	4	5	4	6
K06980	6372.53	7973.65	9369.24	7989.69	10720.24	11223.47	11234	10881	12357	9793	11459	11099
K06981	20	38	17.33	36.67	32.5	3	5	36	6	33	5	37
K06982	14	30	11	34	32	1	4	34	5	31	5	35
K06983	56	924	280	220.5	304	294	173	177	190	160	176	181
K06985	3380.1	3933.21	6995.79	4619.29	7785.52	6973.68	8335	7073	9169	6365	8502	7214
K06986	801.61	953.63	1085.3	2295.54	819.07	866.54	1042	1308	1146	1177	1063	1334
K06987	5009.92	8149.02	12131.06	7555.4	14046.85	13441.77	15835	12773	17418	11496	16152	13028
K06988	3480.74	5704.99	7027.26	5865.47	9945.03	11231.85	11617	10273	12778	9245	11849	10478
K06989	2472.63	2580.57	2249.16	2070.96	1117.78	739.49	1003	836	1103	753	1023	853
K06990	258.33	515.5	288.66	315.65	177.3	91.65	50	313	55	282	51	319
K06991	1904.56	3383.12	4038.5	2612.59	6804.28	6282.22	7679	6055	8447	5449	7833	6176
K06992	3288.5	4640.38	3625.44	3468.98	2100.52	1971.56	2201	2159	2421	1943	2245	2202
K06994	1671.63	1380.59	3147.48	5696.99	9620.11	15768.75	12194	12322	13414	11090	12438	12568
K06995	5360.47	7780.51	11447.29	10380.53	10646.36	10506.82	12507	11224	13758	10102	12757	11449
K06996	6486.63	7613.98	8881.02	6534.2	16526.62	18044.92	17872	15897	19659	14308	18229	16215
K06997	8151.6	10298.69	12636.59	10298.87	12155.71	12566.77	12670	12499	13936	11249	12923	12749
K06998	877.78	1064.9	1264.08	1354.85	648.64	478.13	495	450	544	405	505	459
K06999	6274.28	9183.44	12089.09	8995.74	15323.22	14457.64	16963	14057	18659	12651	17302	14338
K07000	5486.78	6292	7541.85	6024.69	7926.26	7413.8	8654	7647	9519	6883	8827	7800
K07001	19492.22	23854.33	29506.38	23619.49	28028.72	27213.42	29909	28306	32900	25475	30507	28872
K07002	9756.1	9325.46	11040.1	8780.18	10377.45	9163.26	10663	9775	11730	8798	10877	9971
K07003	3473.8	5450.32	6092.16	7311.33	8269.86	8077.45	9443	8545	10388	7691	9632	8716
K07004	2141.03	2079.33	1278.36	1787.31	930.95	1059.51	970	1107	1067	996	989	1129
K07005	482.56	414.97	787.5	928.35	383.06	303.86	208	605	229	544	212	617
K07006	3732.89	5011.13	8256.84	6143.65	3011.83	2396.31	3010	3610	3311	3249	3071	3682
K07007	11825.1	15157.73	16993.41	14170.84	17932.72	16571.62	18810	17093	20691	15384	19186	17435
K07008	5722.17	6295.98	8259.24	6716.94	8652.04	8041.29	9257	8377	10183	7540	9442	8545
K07009	499.78	366.38	391.28	917.62	186.19	137.55	151	423	167	380	154	431
K07010	4737.43	6442.44	9251.17	8533.84	9360.49	8541.36	9996	10175	10996	9158	10196	10379
K07011	1171.57	3578.53	2235	2809.76	1549.7	1282.14	1311	1978	1442	1780	1337	2018
K07012	727.77	1428.9	835.43	1227.25	262.48	175.22	171	361	188	325	174	368
K07013	4	0	0	1.5	0	0	0	0	0	0	0	0
K07014	215.31	445.89	222.71	580.33	68.79	150.49	46	136	51	122	47	138
K07015	478.92	351.55	320.6	843.02	118.68	64.55	77	227	84	204	78	231
K07016	8	10	8.33	12.17	7.5	4.5	3	14	3	13	3	15
K07017	2836.16	3803.54	2262.23	3812.72	2515.26	3313.41	2970	2989	3266	2690	3029	3049
K07018	5610.89	6920.96	8453.48	6171.78	9657.13	9914.39	9948	9276	10943	8349	10147	9462
K07019	5711.27	7618.15	8278.79	6167.75	8318.23	7743.09	8845	8101	9730	7291	9022	8263
K07020	2273.77	3352.64	4927.27	4082.39	8142.98	8872.28	9001	7991	9901	7192	9181	8150
K07023	901.22	731.78	1357.19	1313.32	594.72	549.35	681	895	749	805	694	912
K07024	8312.73	8259.2	10978.9	12051.14	12319.98	13999.55	12915	13795	14206	12416	13173	14071
K07025	13187.2	18881.07	19352.46	18530.98	21791.31	22852.6	22950	21704	25245	19533	23409	22138
K07026	317.19	367.89	200.54	547.03	44.46	38.93	28	45	31	41	28	46
K07027	3621.64	6054.18	6419.56	6589.64	8127.14	7563.32	8880	8008	9768	7208	9057	8169
K07028	2224.74	3142.75	4496.41	3614.15	6764.76	6484.62	7748	6286	8523	5658	7903	6412
K07029	615.92	276.3	788.43	1464.35	1903.68	3167.88	2196	2484	2416	2235	2240	2533
K07030	725.26	509.46	945.01	1662.52	1972.39	3203.55	2261	2596	2487	2336	2306	2647
K07031	321.83	777.84	342.64	807.97	245.64	160.16	269	669	296	602	274	683
K07032	2111.71	3080.07	2338.49	3932.9	2772.86	3546.63	2558	3184	2814	2865	2609	3247
K07033	147	81	110.67	141.34	21	8.67	11	12	13	11	12	12
K07034	337.01	1192.02	500.02	1031.6	703.26	1053.13	1105	898	1215	808	1127	916
K07035	902.74	271.83	405	1190.96	117.42	33.08	47	58	52	53	48	59
K07037	435.64	1232.34	821.05	803.24	346.18	229.23	169	693	186	623	173	706
K07038	2031.54	1694.63	3046.39	3774.25	1587.1	1507.65	1187	1761	1306	1585	1211	1796
K07039	6103.43	8351.17	9830.07	7369.47	8906.04	8451.6	10029	8984	11032	8086	10230	9164
K07040	6348.53	8049.61	8885.51	7876.2	10375.2	10953.38	11167	10739	12284	9666	11390	10954
K07041	35.8	60	39	76.6	90.8	14.8	14	71	15	64	14	73
K07042	6963.78	8606.36	9823.67	8450.71	10865.59	11148.85	11214	11089	12336	9980	11438	11311
K07043	6963.88	9319.57	11265.33	8166.51	11504.31	11768.9	11764	11477	12940	10330	11999	11707
K07044	15540.21	15119.46	8027.2	8833.67	4632.85	4874.01	4906	5024	5396	4522	5004	5124
K07045	2102.86	2408.89	2358.63	4177.39	1287.98	955.92	1131	1858	1244	1672	1154	1895
K07046	858.7	1937.83	2042.13	1322.55	764.43	919.28	942	892	1036	803	961	910
K07047	8881.3	12626.83	14906.79	11230.89	18266.34	19709.27	20054	18638	22060	16774	20455	19011
K07048	215.39	200.72	227.04	611.35	176.89	181.26	183	274	201	246	186	279
K07050	662.5	1116.7	2153.41	979.64	1017.51	721.36	908	701	999	631	926	715
K07051	1094.99	1311.87	1816.28	1234.36	5657.83	5454.91	6313	4933	6944	4440	6439	5032
K07052	5699.29	8220.42	8528.64	9321.76	9099.74	8785.54	10261	9360	11287	8424	10466	9547
K07053	6036.27	7051.5	8591.06	7463.17	10077.59	10692.01	11001	10608	12101	9547	11221	10820
K07054	5977.47	7904.47	8761.74	7294.55	9629.11	9988.84	10243	9608	11267	8648	10448	9800
K07056	8296.97	10948.36	12828.35	10703.04	12056.63	12230.86	12587	12733	13846	11460	12839	12988
K07057	0	1.67	0	0	0	0	0	0	0	0	0	0
K07058	9289.29	12359.14	14120.93	13933.99	15190.39	16868.75	16208	16220	17828	14598	16532	16544
K07060	14	30	11	34	32	1	4	34	5	31	5	35
K07061	0	1.67	6.33	0.67	0.5	1	4	4	4	4	4	5
K07062	3878.11	6122.05	6960.06	6319	8445.42	8164.51	9424	7577	10366	6819	9612	7728
K07063	11	38.67	3	220	8	6	12	116	14	105	13	119
K07064	235.7	184.17	637.25	497	1754.83	3070.5	2081	2197	2289	1977	2122	2241
K07065	68.5	94	64.25	193.5	34.5	27.5	30	20	33	18	31	21
K07066	24	13	16	25	2.5	2.5	3	0	3	0	3	0
K07067	209.17	185.25	607.75	779.25	1831.8	3162	2195	2350	2415	2115	2239	2397
K07068	649.73	597.94	917.44	1612.58	918.55	531.69	704	918	775	826	718	936
K07069	12.17	10	46.83	36	8	0	16	10	18	9	16	11
K07070	4417.08	5310.06	5139.5	4720.86	7121.3	6954.35	8094	6623	8904	5961	8256	6755
K07071	5827.43	7168.26	7277.41	8242.79	9912.24	10787.1	11054	10262	12159	9235	11275	10467
K07072	7.5	25.67	67.66	11.82	2.17	0.67	2	18	2	16	2	19
K07074	1070.36	1636.18	1529.73	2549	917.13	1312.6	1322	1246	1454	1122	1349	1271
K07075	615.4	1931.37	2094.99	1166.15	695.23	672.84	660	799	726	719	673	814
K07076	30.5	66.67	5.25	69.5	26	24	25	17	27	16	25	18
K07077	368.8	1107.42	793.91	840.6	1427.44	2326.63	1401	1617	1541	1455	1429	1649
K07078	5227.45	5195.26	2026.55	2833.71	1168.3	1071	992	1260	1091	1134	1012	1285
K07079	117	162.67	85.5	181.5	56	60	31	57	34	52	32	59
K07080	1375.45	1340.06	1661.08	1895.99	1024.13	618.53	744	819	818	737	759	835
K07082	6799.65	9201.02	9986.89	8772.94	11544.84	12410.23	12647	11887	13911	10699	12900	12125
K07084	3659.05	3944.6	3608.91	3945.01	1659.01	1634.52	1932	1995	2125	1796	1971	2035
K07085	385.76	869.76	1329.81	711.12	135.78	225.71	90	131	99	118	92	134
K07086	592.12	533.14	1823.65	248.82	257.5	84.34	64	303	70	273	65	310
K07088	14274.69	14708.61	17106.17	15832.96	18808.97	18637.25	19799	18982	21779	17084	20195	19362
K07089	1561.94	2580.37	3281.58	2528.56	1075.76	880.73	1035	1436	1138	1293	1055	1465
K07090	37499.99	45911.87	53506.91	46768.17	60775.61	59168.24	66038	59334	72641	53400	67358	60520
K07091	6329.65	8532.73	9169.58	7351.95	9025.9	8294.74	9349	8656	10284	7790	9536	8829
K07092	16.2	2	29.2	42.2	30.2	12.2	20	46	22	42	21	47
K07093	8501.8	9193.43	10351.68	9103.25	14449.79	13652.5	15977	13437	17575	12094	16297	13706
K07094	513.65	302	476.15	1040.31	182.29	110.34	232	240	255	216	237	245
K07095	1869.05	3102.31	3405.4	4066.15	1697.02	1411.78	1664	2052	1830	1847	1697	2093
K07096	25	37	21	71	24	26	21	20	24	18	22	21
K07097	0	0	1.5	0	0	0	0	0	0	0	0	0
K07098	4402.23	5441.46	5066.25	4689.18	2370.17	1945.55	1850	2837	2035	2553	1887	2893
K07099	10.33	2.33	42.33	12.5	6.5	8	4	7	4	7	4	8
K07100	56.66	58.67	194.5	217.33	59.17	72	56	291	62	262	57	297
K07101	987.89	993.31	2619.7	1283.08	2498.42	3470.92	2647	3023	2911	2721	2700	3083
K07102	5942.04	7669.6	8481.42	6407.32	8801.57	7883.83	8959	8352	9854	7517	9138	8519
K07104	1076.52	934.13	1324.41	2083.12	2361.6	3446.1	2417	3072	2659	2765	2466	3133
K07105	90.71	172.38	79.02	215.27	45.26	15.3	18	196	20	176	18	200
K07106	1175.12	1691.46	1296.23	2319.59	1395.97	1536.74	1546	1648	1701	1483	1577	1681
K07107	22820.59	29656.02	29478.06	28311.5	25342.5	26539.24	27325	26956	30058	24260	27872	27495
K07108	14	30	11	34	32	1	4	34	5	31	5	35
K07109	156.99	207.55	154.11	459.49	45.43	81.45	28	61	31	55	28	63
K07110	903.46	825.66	1171.24	1582.36	1395.18	1010.42	906	872	996	785	924	889
K07112	12688.26	15378.68	17527.68	13753.48	11996.97	10409.31	11820	12380	13002	11142	12057	12628
