function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m	S17_S16	S17_m	S18_S16	S18_m
K07053	18941	1613	5757	1831	7828	990	4816	1208	20393	1199	9537	761	17418	3242	6054	2651	3448	2778	3106	2281	10756	2845	17167	2225	4282	3000	12783	969	4455	3110	4738	2216	5049	3655	22130	1894
K07054	26232	3630	4533	2884	14788	2761	13212	1745	23829	2130	25745	2094	14445	4996	10399	2687	8478	4598	10308	4774	15260	5501	11811	2175	4384	5754	29759	990	15295	5441	8373	2034	7470	4401	6188	1399
K07055	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0
K07056	46446	5475	8430	5721	20138	5164	16860	2379	33389	3400	45479	3382	24855	8084	17404	3698	14439	7715	17901	9822	23656	8892	19942	3950	8279	9794	46803	2115	27090	7686	12610	5146	9283	6007	25936	3493
K07057	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K07058	49005	6629	10832	6284	24851	5870	25370	2749	35673	4057	57631	4025	23307	9967	20744	4847	17109	8384	22131	10591	26170	9871	25441	4864	10062	10368	54735	2567	35029	9992	14327	5772	12140	6753	13738	3131
K07059	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	108	0	0	0	0	0	0	4	0	0	0	0
K07060	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	5	0	0	3	0	0	2	1	0	0	0	0
K07061	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	7	0	0	5	1	12	0	0	1	0	0	0	2	0	0	30	1
K07062	3935	2747	2903	989	14474	936	44448	2354	5833	1285	4702	1192	7461	3506	7649	727	5445	1208	6630	1524	5325	1166	2865	1517	2003	2167	21831	960	1973	2575	9269	2155	3540	2993	5311	854
K07063	0	0	0	17	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	4	8	0	0	1
K07064	9	472	1024	87	1309	85	807	263	349	306	28	2	1386	109	353	397	398	1	1585	128	0	5	6396	381	413	4	39	86	40	373	1200	200	1357	29	292	105
K07065	0	0	27	0	0	1	25	0	0	0	0	1	46	2	0	5	3	0	27	1	0	0	120	6	209	0	0	50	0	0	0	115	91	0	11	1
K07066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	9	0	314	0	0	5	0	0	0	31	0	0	5	0
K07067	6	8	1120	89	6	25	41	128	429	275	54	2	4062	7	192	518	46	32	891	533	0	3	7298	839	1270	1	11	136	134	2	495	311	1757	22	3411	361
K07068	3819	72	731	270	283	295	1148	165	10968	178	7179	25	1187	1006	3570	156	2437	2336	1053	1027	3302	1466	1245	264	1127	329	260	339	1703	442	1128	781	926	8323	903	345
K07069	0	0	22	18	0	1	12	0	0	0	0	0	1	6	1	5	0	0	3	0	0	0	5	0	54	0	3	8	0	0	0	7	4	2	0	1
K07070	6546	1077	3519	678	7197	543	3537	730	14073	423	6052	423	4877	1950	2019	1768	1487	1597	1662	127	6929	2135	3316	355	1242	1549	10421	172	3561	2598	2352	196	2735	2322	464	140
K07071	21715	3092	5478	3326	12983	3607	7837	1455	16970	2157	18289	2198	17886	6318	8097	2576	10208	4710	12912	8388	11991	4892	12545	3016	5043	7650	42462	947	13927	6533	6704	2213	6072	2831	14377	2039
K07072	0	0	10	2	0	0	0	0	0	0	0	0	25	1	0	2	0	0	7	2	0	0	9	0	2	0	0	5	0	0	2	31	11	0	16	0
K07074	6015	859	1176	1415	7554	2131	3405	895	9779	927	16859	818	3336	1641	4600	805	4833	2794	6788	3465	3710	1510	856	522	1532	3252	24479	77	8781	1299	3107	328	954	663	3343	757
K07075	412	963	684	864	5112	205	17439	451	172	518	158	625	878	1191	1075	233	1795	40	3175	305	977	76	758	533	756	614	10263	356	772	1234	2031	798	624	1145	768	142
K07076	0	307	64	17	1645	61	4678	158	26	27	0	88	12	123	215	8	99	2	418	72	0	0	24	61	7	27	1191	15	6	151	735	21	0	227	37	30
K07077	1766	373	1178	262	1698	497	5142	349	5144	406	2266	161	4758	1118	1645	432	1404	1334	4850	4105	1330	365	7679	991	1197	605	4230	111	331	871	1737	187	1863	446	3852	552
K07078	7031	711	3062	796	3834	685	1226	17	17019	120	10121	140	1465	1199	76	1313	433	2182	1667	104	3040	1489	885	128	365	890	289	217	3434	3562	117	117	274	508	281	87
K07079	0	1	185	336	10	6	27	1	8	0	0	1	112	69	6	10	3	0	132	5	0	0	144	6	720	0	0	111	0	2	3	249	88	10	74	0
K07080	176	873	3806	433	2488	354	6212	369	808	151	220	548	4025	1141	2253	367	1753	139	1730	710	5	112	2609	570	2589	588	2786	570	440	2126	1761	1323	3255	653	1612	236
K07082	26820	3643	7168	3378	14816	2956	13434	1795	24396	2145	25819	2096	23451	5374	10503	3200	8627	4727	11357	6074	15329	5540	18939	3267	6550	5811	29820	1532	15443	5517	8659	3564	8552	4482	23604	2765
K07084	5230	656	3330	483	5167	461	1774	634	13422	353	5158	228	10346	952	1912	1404	1369	1442	1781	954	4675	1786	7220	929	2252	1011	3861	186	2346	2350	2077	302	2616	1898	14681	1118
K07085	1695	845	2853	1423	4594	211	3578	368	1992	279	725	420	982	676	1823	1053	413	360	730	49	1623	361	2253	99	372	718	13149	111	2043	327	1275	160	634	913	306	67
K07086	1825	432	2098	550	276	320	498	102	4210	311	2223	158	286	1037	1309	344	666	899	792	30	1425	391	866	85	1386	1306	1667	127	214	343	949	585	441	404	345	41
K07088	57967	4224	10637	4306	9476	4231	24033	1929	49844	2669	38571	2262	26212	9059	14844	4018	11670	9244	14092	6730	24119	7007	18598	3857	7882	8667	29876	1925	16073	10679	9845	4228	8926	12191	28539	3124
K07089	1311	789	1498	603	3876	237	3395	846	4828	390	296	532	10229	725	2986	1050	1747	275	1038	1081	3615	1004	8519	895	2916	1077	10929	448	1316	442	2875	1103	2761	596	14784	1131
K07090	131146	19676	27067	13435	78854	12756	73297	10060	128421	9966	127817	10522	87962	24259	52691	12976	37351	21501	52689	24766	85279	32641	44238	11015	24474	26886	130184	5755	78336	24995	45762	13194	40410	27634	42230	7829
K07091	26814	3636	5652	3266	14810	2930	13351	1666	23763	1869	25759	2094	11335	5351	10305	2649	8577	4650	10320	4283	15327	5538	5404	1517	3799	5812	29793	1267	15309	5515	8158	3096	6495	4398	3332	1142
K07092	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	5	6	0	0	9	0	0	0	31	2	0	110	0
K07093	20132	1423	4341	1543	6020	1995	4088	764	22822	755	11682	894	9361	3507	3395	2403	6091	4254	7657	3766	9741	2825	9455	1450	4478	4668	21385	921	4519	3698	2993	2415	4106	3173	5966	682
K07094	3080	254	346	342	723	112	1492	223	586	299	434	97	502	441	1032	102	892	70	403	17	1329	419	323	66	371	206	140	179	322	302	1542	402	155	69	330	34
K07095	11139	2084	3297	2169	8594	2016	5593	1039	9231	1113	17241	1478	2718	3024	6081	1381	5826	2384	6790	3514	9913	3988	1835	895	2111	3775	25606	529	12785	2605	4757	1225	1341	805	1467	689
K07096	0	307	48	27	1645	61	4678	162	26	27	0	88	10	123	215	4	99	2	416	74	0	1	158	56	7	27	1191	5	6	151	745	5	1	227	37	30
K07097	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0
K07098	25814	3509	3591	3546	14741	4171	10671	805	17525	1658	38394	2319	5168	5051	8884	1705	10227	5533	11644	5195	11682	6047	9503	1997	4486	5658	31738	996	23917	6593	5045	2108	2380	1858	3135	1464
K07099	0	0	57	20	0	1	0	0	0	0	0	0	22	6	0	5	0	0	2	19	0	0	18	3	46	0	0	30	0	0	0	25	1	1	134	1
K07100	50	0	652	0	4	0	0	8	54	0	21	0	499	0	0	376	0	6	356	172	0	1	6376	214	323	0	6	36	14	0	8	76	223	2	468	66
K07101	12258	457	986	803	385	395	850	364	6200	752	3458	167	4024	977	3044	97	1273	1169	710	599	3828	709	1299	581	1470	1309	1804	469	851	373	1836	803	1356	1261	4013	415
K07102	18952	1839	5105	1414	7838	1008	8894	1241	19812	1028	9305	777	10405	3168	6179	2006	3888	2642	4210	858	10148	2749	3100	929	2557	2790	8045	1010	3509	3548	5392	2486	6059	3679	2402	507
K07103	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0
K07104	632	1034	1650	811	2453	246	6752	556	1039	981	78	539	8615	1185	2134	518	1747	233	1967	898	100	44	7346	1186	1758	1428	4114	340	224	610	2921	691	4038	880	4351	603
K07105	0	0	329	57	0	2	20	1	1	0	1	0	415	16	4	89	1	9	186	1	0	1	230	29	170	0	4	78	0	0	4	67	78	31	206	2
K07106	10198	1195	1569	2261	6916	1646	14195	1081	3260	1394	25068	1146	8645	2306	9262	868	3108	655	5757	1001	7189	2651	3999	1487	1644	1059	9797	448	15140	1853	5407	945	4359	1205	4009	1218
K07107	89478	11679	20196	9653	51613	10712	39369	5300	95775	5817	76175	6737	39311	16141	28017	9630	31298	18354	40106	19214	50724	19758	25999	5981	15930	22401	111770	4036	45391	20714	23868	8546	19743	13913	17175	3865
K07108	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	5	0	0	3	0	0	2	1	0	0	0	0
K07109	753	421	1464	181	2032	84	1731	97	752	72	222	195	101	241	107	642	123	181	217	38	683	146	2016	47	12	357	6566	12	982	146	286	26	239	428	30	23
K07110	18669	1549	1283	1587	3561	1657	9554	813	9010	1078	3890	1164	7609	2917	6207	173	7009	2821	7087	3806	5205	1185	1707	762	2635	4067	20054	630	1152	2051	4469	1605	4586	1967	1884	631
K07112	64027	10605	11464	7051	39232	6259	17765	2976	61108	4740	73618	5526	27228	10188	24559	4305	16486	11285	20071	9298	41413	19565	7232	2815	8330	12846	50679	2236	47697	9604	17384	4978	14861	10969	6290	2951
K07113	6565	1482	4292	874	9107	712	8854	1043	14315	588	6056	701	9761	2099	3269	2163	2298	1635	2955	427	6932	2138	4589	789	2256	1710	12363	442	3598	2840	3818	1175	5729	2682	1215	359
K07114	32738	7097	9258	5139	28230	4892	24321	3553	38467	3792	26038	4383	31362	8835	15466	4395	18630	8152	16864	9409	25409	11572	13805	3380	10301	11930	63028	2048	20891	7160	17156	5852	13728	5733	21497	2912
K07115	19439	2250	4878	1556	9861	1092	10572	1296	20455	1099	9524	970	10241	3564	6256	2387	4005	2800	4201	892	10827	2893	4370	923	2165	3128	14604	814	4398	3704	5436	1810	5956	4106	2242	522
K07116	6506	565	2580	528	3179	265	2317	1368	10502	736	1853	318	8701	1947	4936	1406	1983	671	1803	88	9741	2465	1155	553	2125	1492	7502	299	1858	1323	4397	423	4619	3332	805	179
K07117	12459	483	806	586	496	545	651	189	5652	368	3181	166	1380	950	1791	434	1357	1172	1163	554	3637	677	775	204	458	1326	1874	540	707	358	1543	1277	630	1223	1816	188
K07118	12316	2434	3143	2113	7121	1589	9573	1176	14400	1629	8013	1518	6358	3484	6434	1444	6653	3328	7225	4061	7952	3625	1735	1144	2646	5572	23571	402	5677	2629	5854	829	3399	3322	2077	578
K07119	20020	1720	6227	1339	6406	860	10601	1744	22113	1456	9447	773	13009	2649	7201	3102	4271	2775	5046	1246	13639	3555	11419	1481	4103	3093	17336	1103	4493	1877	6267	2188	7467	3777	3479	565
K07120	17665	1998	2941	1495	7821	750	10282	1877	11374	1232	2971	1211	8161	3306	7707	1452	3951	974	2785	564	12550	2841	3480	795	2418	3337	18558	503	3035	1716	6967	1041	4803	5420	1510	322
K07121	7340	717	3723	586	3642	399	2864	861	13195	534	6184	359	5475	1490	3184	2281	1169	1431	2236	298	7122	2049	3439	418	1249	1248	10369	283	3329	900	2734	726	3045	2240	756	185
K07122	19376	1526	4463	1333	7574	911	4184	966	19892	915	9506	585	5752	2896	4875	2349	2738	2676	2591	657	10822	2878	3758	520	1608	2864	12194	524	4303	2966	3703	1182	3247	3550	1582	312
K07123	263	1	103	10	21	1	29	0	6	0	0	0	93	2	0	8	9	1	55	14	0	0	25	23	100	0	12	57	0	0	5	167	33	1	281	8
K07124	11623	2492	5921	2373	15870	1915	11710	2894	18779	2221	3147	1457	19215	4863	10182	3288	9672	3059	14032	7357	11604	3076	14095	3000	4951	5992	29225	1163	2768	4339	11458	2211	8517	3127	11724	1480
K07126	34024	7283	13418	5266	45509	3687	36947	7891	56056	5234	50268	2927	29404	8912	33536	4179	15582	8143	16657	4673	23857	9234	5705	2523	5242	8574	40910	1508	22844	9826	28518	3540	17071	9232	4319	1872
K07127	32616	2670	4857	3054	11670	4375	9436	1388	38915	1669	32251	2092	13117	4595	10883	3265	11865	8090	6484	1678	18590	7057	12473	1791	3610	8326	45192	632	16967	4585	6070	1280	6254	6423	5245	1319
K07128	0	0	8	1	0	1	0	0	553	0	42	1	1	1	0	28	1	134	12	1	113	52	0	1	0	0	0	1	251	0	0	1	1	0	6	0
K07129	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	5	0	0	2	3	0	0	0	0
K07130	11321	714	1006	612	1936	330	1514	658	5745	632	1046	311	4239	814	2361	692	1540	579	1243	411	5292	1192	605	268	1110	1718	5493	331	1126	369	2376	509	2087	1081	1116	147
K07131	7737	425	1699	660	4076	670	1537	191	16482	445	11292	155	3466	1119	1077	1064	1052	2283	2373	578	4364	2057	1488	493	810	798	323	190	3677	2085	950	190	1411	891	3128	488
K07132	4	0	154	103	0	34	4	7	6	39	0	0	3917	14	14	26	0	1	540	129	1	0	275	130	809	0	0	36	0	0	10	15	1878	6	143	60
K07133	1012	1450	1127	2519	5127	481	7901	557	6252	1117	8829	572	40723	1581	1849	619	1848	1157	2645	6539	2655	1987	35398	5303	6416	379	1305	322	5157	1161	3367	812	2558	622	93502	7099
K07134	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07135	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07136	2007	627	2691	202	2252	198	2864	156	4675	94	2437	204	452	864	1331	465	1033	975	829	12	2010	511	1118	157	498	521	6580	263	1197	700	829	497	494	592	258	51
K07137	19743	1066	2177	2207	3332	1238	3714	1155	11665	1339	16488	672	5179	3271	8290	851	3838	1781	3357	706	11667	3114	1434	896	1829	2392	5679	782	8697	2126	5424	1501	2721	3034	1816	637
K07138	0	2	54	349	12	7	2	1	12	0	0	1	7	93	0	10	0	0	2	0	0	0	1	2	19	11	4	37	0	13	3	21	1	9	5	0
K07139	2098	502	1630	1076	2696	723	2023	198	1189	323	12065	450	631	946	2629	672	858	488	2051	301	2453	936	682	478	374	496	6601	133	7726	925	907	168	240	536	435	369
K07140	19151	2235	3697	1480	8816	752	10842	1609	11973	1261	4896	972	5928	2995	7766	1648	4484	1709	2795	461	10579	2471	4578	995	3174	2740	14107	608	3045	2036	7272	1740	3782	3755	2164	360
K07141	4905	2371	4562	1393	8120	564	8967	1340	7808	1557	6003	1275	12435	2338	6263	1877	3586	746	4289	1645	6763	2974	10823	1878	3855	2373	7811	949	5371	1862	5947	2222	5245	3167	7745	1065
K07142	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	5	0	0	3	0	0	2	1	0	0	0	0
K07143	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0
K07144	0	0	1	2	0	0	0	4	0	0	0	0	3	1	0	1	0	0	3	0	0	1	2	0	2	0	0	1	0	0	10	2	12	0	0	0
K07145	0	0	581	2	0	1	9	2	0	1	0	0	558	1	0	100	0	5	321	2	0	0	437	34	341	1	14	119	0	1	1	107	169	6	576	2
K07146	26683	4350	5540	3754	15089	2887	13595	1745	20558	2678	23632	2288	13459	5711	9215	2627	7998	4015	11035	4476	14182	5233	11300	2012	4642	7806	32618	1107	15274	5566	8396	2360	7491	4581	4025	1235
K07147	16383	2092	3641	1344	8113	815	10638	1333	11558	1053	4597	1092	6856	2947	6261	1741	3346	1662	2130	665	9763	2130	3504	567	1964	3027	21041	625	3380	1670	5321	1493	4111	4294	1873	362
K07148	5850	1401	1808	1911	4555	370	5316	1259	3113	1275	1270	560	4425	1550	5517	1051	2205	311	2030	527	2692	775	3728	600	1057	2160	11165	379	1453	1097	4837	771	1800	797	3776	400
K07149	0	0	1164	26	0	2	11	0	70	0	21	0	971	4	1	539	0	5	712	158	0	1	6796	306	392	0	0	92	14	0	0	127	631	3	501	66
K07150	1157	421	419	222	2031	86	1746	97	288	72	215	195	573	258	108	266	123	51	308	14	678	135	393	99	331	357	6569	106	741	146	276	164	158	460	404	24
K07151	0	0	3	10	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	8	0	5	0	0	3	0	0	2	3	0	0	0	0
K07152	39558	3560	7341	4449	13541	4178	14687	2860	22362	3079	46145	2672	19908	7139	20022	2800	11596	4197	15663	5205	25098	8481	5920	2598	6117	6470	27562	1938	27812	5690	13896	4887	11114	7323	4848	2082
K07153	7130	1080	3678	688	7204	551	3540	736	14568	430	6086	423	5436	1951	2025	2088	1494	1626	2222	320	6995	2172	3430	405	1383	1557	10425	208	3588	2598	2369	365	3028	2325	556	201
K07154	28163	3401	6377	3598	12845	1821	19482	2456	33573	2504	16727	1450	9723	5536	11649	2925	6698	4352	5856	1541	17302	5517	8528	1764	2030	5543	21282	1128	7554	5892	10219	2373	3381	6969	9069	1122
K07155	0	0	57	0	0	0	0	16	0	0	0	0	130	0	12	0	0	0	22	1	0	0	7	56	13	0	0	3	0	1	79	2	5	0	2	0
K07156	6796	2187	4484	1106	11257	730	8441	1739	20246	1303	6916	784	22520	1897	5699	2364	3710	2135	5222	1274	9283	3247	11005	1928	4712	2218	20751	499	5310	3578	5749	702	9828	1650	7334	945
K07157	15962	1466	4663	1141	4317	666	8125	1271	11487	971	4262	705	10071	2796	6153	1488	3469	1561	3833	891	8646	1960	3078	934	2748	2335	7921	931	1747	1797	5736	2354	6172	3445	2077	519
K07158	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	5	0	0	3	0	0	2	1	0	0	0	0
K07159	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	10	0	0	3	0	0	2	1	0	0	0	0
K07160	19073	1781	5781	1284	10365	856	9104	1266	24356	903	8627	754	15656	3760	4054	3855	3037	2436	5100	1586	18303	4625	22837	2160	4281	2210	14467	679	5715	3458	4924	1402	9271	5168	2942	767
K07161	912	830	1057	634	2233	174	5551	283	1328	364	957	420	1756	950	1627	477	1352	308	1369	678	305	280	7786	575	1560	1298	3542	329	504	470	1519	1117	1098	1040	1374	226
K07162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0
K07163	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0
K07164	7379	1386	1556	1771	4948	1862	2745	458	3892	1045	16255	1125	5048	1772	4219	687	4612	1852	6856	4203	4500	2645	7837	1357	2459	2671	15212	454	10925	1807	2987	1229	2051	324	4424	996
K07165	31696	6693	10611	4112	30578	2564	28251	8028	76729	4889	25642	2293	41782	9382	28916	7282	14179	7335	17912	1747	46597	14284	5266	3164	9661	9664	50135	1412	14708	7994	28153	1833	21848	20881	3411	1394
K07166	0	0	99	65	0	1	16	2	3	1	4	0	5795	20	4	14	0	3	87	883	0	0	5702	650	1095	1	17	51	0	0	4	26	259	5	14047	1018
K07167	1166	405	1613	260	1923	152	5220	273	670	111	710	269	3280	1095	1297	328	961	56	1575	293	1649	243	634	362	510	342	1881	154	298	369	1341	543	2048	339	581	188
K07168	17938	1494	2656	1259	7427	764	7863	1099	19197	871	8601	659	4788	2248	5920	1320	3390	2568	2314	477	8557	2573	2073	526	1491	2463	7377	474	3120	3015	4550	954	2342	3402	1490	257
K07169	50	7	431	9	74	28	88	1	6	5	0	3	351	1	60	522	193	0	103	82	0	0	3731	65	45	4	115	45	0	1	12	127	361	3	383	33
K07171	0	437	1344	245	2304	116	10219	264	84	249	4	188	1061	422	729	170	704	88	1922	376	1	4	767	299	2313	114	2491	463	35	409	1338	952	677	557	953	107
K07172	11	274	457	47	1110	74	21	159	48	83	0	0	2236	2	223	23	32	3	281	18	2	0	64	130	144	1	42	57	2	2	821	90	1395	19	133	60
K07173	627	470	2221	314	2049	150	1871	107	1150	149	259	195	8474	996	121	685	296	465	569	1468	687	149	8484	1032	1721	378	6596	131	1102	637	303	113	899	505	17312	1295
K07175	15907	763	4709	1290	2094	528	1959	1042	11932	1078	4302	411	9908	2236	5006	2054	2611	1540	3190	1384	8638	1945	8758	1649	2785	2082	5570	708	1794	1352	4158	1801	4829	2946	5383	710
K07176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	1	0	0	0	0
K07177	6	8	1477	76	6	26	54	132	642	277	60	2	10270	6	199	537	47	77	1048	1618	2	3	13146	1515	2311	1	28	168	134	2	500	310	2062	74	17699	1404
K07178	4301	723	2968	742	1882	335	1527	789	6649	894	910	314	8140	1690	2232	1233	1291	607	1944	482	5016	1319	1805	832	1841	1907	5509	260	1323	847	2873	530	3849	1924	3706	444
K07179	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0
K07180	5478	1452	3364	1065	5622	367	8022	1220	7931	985	2507	595	5093	2183	5025	1592	1920	818	2025	265	6240	1761	3102	513	1342	2303	13269	424	2480	1206	4419	995	2850	3065	1443	240
K07181	24655	886	2883	1263	666	356	1250	461	11383	944	6849	322	1035	2293	5618	850	2275	2245	918	690	7658	1415	1472	252	812	2625	3440	453	1467	786	2662	1622	677	2456	2633	236
K07182	20290	586	3034	1292	3539	972	3208	865	6609	700	13489	773	5301	2671	6482	1240	3195	680	3400	728	11110	2819	2069	748	1915	1285	4706	309	8199	1957	3550	923	3011	2198	1532	508
K07183	8388	1437	4204	1388	7154	938	7383	1328	19205	1291	8673	493	17544	2513	6020	2073	2370	2372	3819	2069	8184	2521	14925	2171	3779	2541	6859	826	3079	2924	5287	1536	6251	2606	19249	1654
K07184	1322	423	1945	215	2036	112	1761	102	763	73	898	196	735	1023	110	731	123	182	416	71	2259	351	2286	166	246	547	6577	80	1219	259	293	209	708	2076	155	56
K07186	756	421	1483	148	2031	111	1731	98	753	72	222	195	122	237	107	664	123	181	219	40	683	146	2022	50	31	357	6566	14	982	146	281	20	251	431	37	24
K07190	0	0	56	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	55	3	0	0	18	2	308	0	0	24	0	0	0	87	5	0	53	0
K07192	3085	1020	681	453	3572	78	1336	198	995	447	4390	455	3542	132	856	155	72	63	553	831	2266	1822	826	456	701	189	18	126	4073	219	1110	194	979	240	3356	442
K07213	22331	1885	3819	1552	6200	1110	9739	1274	29632	1153	15338	877	18277	3138	6463	2394	3434	3884	5460	925	15162	4469	2718	1241	4141	2950	15007	808	6316	3217	5180	1802	9074	4477	2813	686
K07214	3874	2345	674	1526	9441	1086	5396	619	2705	933	17396	1077	2871	887	5206	617	1984	804	2162	771	4769	2700	2745	669	731	1481	16075	98	12760	756	2941	310	368	1602	3178	744
K07215	6826	763	2070	1072	3970	1100	7140	898	17954	829	23284	421	5073	1930	5378	1570	2400	2614	4591	620	9286	3313	1144	596	1330	1021	5036	156	10574	1417	3519	156	2704	2679	513	559
K07216	14616	440	1267	651	7021	595	1193	111	14853	125	8209	88	1101	1044	1627	840	1707	2284	1385	529	5180	1532	830	143	366	805	215	204	2403	2007	1170	442	417	1249	624	192
K07217	1100	14	776	347	33	56	110	271	1119	415	976	93	1937	637	1442	471	658	27	558	173	1888	295	2337	534	762	183	93	83	313	386	961	117	1578	59	253	123
K07218	1823	448	368	504	589	193	517	182	4146	348	2229	182	4165	853	1533	110	715	867	723	94	1422	394	706	228	945	1319	1778	123	228	326	1562	334	1918	427	501	148
K07219	0	6	238	33	34	187	46	0	0	11	0	4	281	23	70	100	184	24	161	4	0	0	254	41	102	14	91	64	2	11	5	104	146	3	212	4
K07220	20219	2057	3735	2083	6854	2274	7498	794	10039	1351	19747	1367	6345	2914	6858	1031	5439	3050	8597	4515	8398	3391	9510	1765	3204	3994	18201	705	11797	2254	4707	1651	3068	1749	5699	1165
K07221	2003	305	690	368	1638	108	1450	638	1679	288	125	138	2058	234	1924	741	999	98	2056	632	233	137	961	309	825	536	2785	307	96	176	2100	657	1348	1670	512	200
K07222	3149	620	3539	806	3867	877	6191	962	6372	686	12341	424	6890	907	5887	2237	1827	492	4971	1197	5112	1799	22875	1444	2924	826	5248	345	7648	1211	3462	805	4068	1992	1937	692
K07223	8283	1424	4126	1179	8847	1105	4849	1608	22691	1242	11444	619	11181	2375	5595	2554	3573	3327	7235	3867	7126	2784	3659	838	2124	2324	16123	193	5126	3308	5283	179	5085	1337	3746	676
K07224	5615	709	2073	465	3623	202	2859	839	5734	649	1026	354	6102	998	2189	1415	1122	417	1427	445	5535	1424	9094	657	1627	1102	10334	176	1798	388	2756	262	3559	485	910	249
K07225	5377	2013	1283	1464	6009	1313	4027	586	5304	1205	5679	1139	4581	1679	3898	777	4313	2055	5145	3333	2901	1999	2288	477	1356	3901	23354	183	5541	1206	2795	641	2915	1411	1277	450
K07226	6530	1728	2411	800	7107	1244	7659	947	12026	624	7197	1141	4409	1695	5112	1045	5039	2637	5364	3175	6111	3039	1178	486	1503	2812	17695	308	5176	1661	4152	853	2408	2778	1123	385
K07227	414	728	1325	182	3676	145	6550	255	680	98	200	282	60	366	325	286	222	157	605	81	627	126	332	84	56	386	7768	42	981	296	1010	48	107	655	92	38
K07228	1345	54	855	555	554	629	126	48	658	246	11862	165	644	553	2445	407	372	261	2088	522	1768	790	6610	375	373	113	17	62	6758	466	296	86	628	41	493	383
K07229	614	421	174	148	2031	83	1730	97	96	72	177	195	91	237	107	294	122	15	30	36	566	94	1850	28	2	357	6566	6	728	146	278	3	146	428	2	18
K07230	0	1	463	46	9	55	2	9	592	80	49	3	13109	6	12	347	5	155	1252	955	114	54	6166	908	2519	10	116	106	252	1	60	283	3961	17	14466	1127
K07231	13401	1225	1160	821	3913	302	6826	941	5262	712	804	679	6506	2024	3319	828	1955	385	1632	150	6776	1236	702	497	1159	2135	7690	231	972	1175	3858	730	3609	2759	1075	198
K07232	16325	2433	1655	1587	8500	831	18667	1377	10708	1272	4132	1227	10850	3475	5476	1022	3431	1560	3362	797	8977	1969	2908	880	1444	3869	18556	416	2361	1976	6154	996	6230	4557	1509	538
K07233	9385	1677	3180	1000	11036	787	6098	780	17791	576	7162	511	14352	2457	2391	1405	2611	1922	4365	565	7355	2628	3137	791	3792	1867	10524	555	4232	4755	2625	830	7191	2901	1193	421
