function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m	S17_S16	S17_m	S18_S16	S18_m
K00054	7202	1633	559	1132	4422	1235	2158	177	4407	604	5347	1013	6394	1621	1522	122	3730	1937	4717	4092	3062	2155	6149	796	2241	3672	16855	143	4595	1141	1502	375	575	992	14692	1359
K00055	790	47	1336	224	3370	129	328	28	1661	32	96	13	1304	65	39	797	450	162	1482	344	251	154	12484	406	556	196	94	108	114	45	112	185	775	44	419	152
K00057	26828	3692	7709	3447	14830	3019	13523	1798	24731	2219	25820	2097	21896	5909	10506	3293	8800	4936	11553	6165	15331	5541	18919	3043	6745	5825	29836	1617	15443	5981	8662	3892	8744	4515	21237	2566
K00058	67551	8384	12094	7640	30735	7644	26037	3773	53802	4949	68244	5284	28778	11877	24557	6467	21990	11614	27976	13246	38884	14427	26104	4896	10602	14529	71041	2718	41282	10771	19048	6765	15856	7870	11916	3400
K00059	122646	17958	36347	14280	69517	11965	85867	11775	140047	11985	109021	9235	109764	25649	53714	19249	40603	21981	58344	24272	85235	28855	90819	13932	28348	27857	123229	7400	62168	24292	51359	17359	52601	26245	57049	9273
K00060	1691	643	2426	245	2293	130	2687	144	2463	172	1239	203	3816	696	569	1396	920	538	2251	720	963	440	8851	716	828	406	6713	207	1608	601	550	590	2729	981	1083	308
K00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
K00064	8785	1741	1295	1824	7960	2482	10961	785	8364	1027	28328	1309	9983	1537	8286	918	4188	2118	9183	4367	8649	4157	1847	1539	932	2712	18594	231	18168	1543	3688	454	2647	759	9404	1651
K00065	3781	1304	1940	1105	6445	938	9348	597	2188	594	12994	752	9822	1852	3566	579	1671	628	4323	971	4769	1326	1768	1146	1751	1097	14593	419	9013	1336	2896	745	4171	1211	3693	799
K00066	3117	280	967	222	1589	145	1079	618	4971	303	786	158	4220	971	1889	575	953	319	811	40	4740	1199	449	291	891	744	3750	71	893	653	1987	76	2171	1661	355	89
