function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K03190	11291.39	93	11418.16	180	3346.92	154	7707.02	96	14489.87	321	26065.46	84	8314	234	20447.28	158	8136.68	69	2649.35	254	6102.27	72	23435.45	247	9132.92	105	12111.51	147	9958.51	114	10727.15	167
K03191	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0
K03192	6140.89	41	7010.91	127	2127.64	23	5398.28	45	5339.02	69	15001.46	35	6513.3	65	1117.44	85	866.9	30	1547.87	109	4347.52	61	15738.95	93	3792.42	38	5807.17	56	5437.5	49	3793.48	87
K03194	27	1	34	4	310.08	2	30.67	1	385	8	1098.38	1	1820.62	5	1276.67	17	130.5	6	79	10	16.67	7	82.6	1	41	1	90.17	1	150.67	1	101.07	9
K03195	3177.79	22	6945.21	12	1855.36	12	2387.55	16	1886.62	10	1513.88	16	3172.2	11	3638.83	20	1230.33	31	1023.12	18	2124.75	55	3187.25	68	967.42	9	154.67	12	414.42	20	1594.55	11
K03196	3209.79	22	6841.21	11	1883.56	12	2350.55	13	2132.62	17	1841.88	16	3175.7	15	3650.83	36	1177.83	28	989.12	27	2028.75	51	3193.85	68	823.42	7	118.67	9	353.42	20	1462.95	17
K03197	2879.79	20	6496.21	50	942.61	14	2108.55	13	1344.62	33	2581.38	7	1785.45	24	3461.83	33	1276.83	23	776.62	21	2042.75	38	2783.25	16	543.42	5	1327.17	13	1927.17	14	2491.55	13
K03198	2889.79	20	6498.21	49	1292.23	14	2119.55	13	1020.62	26	1970	7	1736.33	20	3459.83	17	1277.83	20	754.62	12	2048.75	42	2802.25	16	643.42	5	1288.67	14	1873.17	14	2518.55	6
K03199	3170.79	22	6766.21	11	2248.61	12	2256.55	13	1771.62	10	1500.38	15	3565.28	11	3586.83	20	1286.83	25	1004.62	18	2019.75	54	3185.25	66	823.42	7	153.17	9	318.17	20	1456.55	11
K03200	3005.79	17	2107.21	48	793.11	18	2441.55	17	2115.62	32	2437.38	12	1990.45	23	2220.83	33	1078.33	24	765.62	24	2350.08	39	2773.25	59	1071.42	10	1284.17	19	1902.17	25	2614.55	11
K03201	228.5	1	435.5	6	2645.08	5	203.67	4	843	14	1568.38	2	1945.12	9	1862.67	33	485	14	300	19	166.34	24	390.1	4	275	3	127.67	3	244.67	1	249.07	16
K03202	1	1	0	1	218.2	2	0.67	1	44	1	0	1	0	1	284.67	1	36	1	0	1	2	1	20.6	1	41	1	2.67	1	5.67	1	97.07	1
K03203	576.5	4	651	5	1429.08	7	544.67	4	1150.5	8	1106.38	10	1848.62	6	1796.67	17	371.5	12	331	16	452.67	21	946.1	54	406.5	6	90.17	6	153.67	16	205.57	9
K03204	3177.79	22	6803.21	11	2196.36	12	2387.55	16	1887.62	10	1451.88	16	3152.7	11	3658.83	20	1192.33	30	992.12	18	2072.75	54	3192.25	68	967.42	9	118.67	12	355.42	20	1594.55	11
K03205	3975.79	24	7129.37	9	1743.48	10	2368.88	14	2373.96	10	1269	21	3693.17	11	3349.16	19	1355.66	27	961.12	23	2164.58	55	4412.59	75	850.92	9	78.84	18	170.84	31	1913.38	12
K03206	0	0	0	0	39	0	0	0	0	0	0	0	373.5	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03207	2104	21	1729.5	45	398	5	498.5	6	826	3	1054.5	12	2579.33	5	91	36	249	7	771	22	272.5	2	2611	12	1433.5	10	759	6	1826	16	180.5	21
K03208	2663.5	27	6788.5	46	511.83	6	768.5	14	903.5	3	1054.5	16	2660.83	6	472	36	308.5	15	1094.92	24	440.5	10	3068.5	35	3953	13	759	6	1826	21	298	21
K03210	18216.1	149	13403.66	245	7461.66	148	8985.32	108	16951.3	259	26819.84	105	15941.33	215	29451.53	154	18587.93	152	6196.55	291	8664.97	180	25637.47	336	11748.92	107	15159.18	169	12942.22	145	11954.44	172
K03212	2142	21	1800.5	13	574	6	1124.5	18	1094	3	756.26	10	2379.58	6	2265.33	7	2444.5	24	481.83	19	774.5	3	2618	18	1689.5	19	937.5	13	242.67	16	452.5	10
K03214	2118.5	21	1763	12	288.38	5	514.5	4	784	3	1333.88	10	3626.83	8	1117.33	8	2099	5	161.08	19	299.5	7	2651	18	1441	7	1310.5	6	489.67	16	204.5	13
K03215	18178.1	149	13418.91	234	7247.52	147	8335.32	94	16609.3	258	26680.34	105	14368.33	212	21455.87	153	6203.01	79	4698.33	291	8165.47	180	25621.47	336	11485.42	94	14265.68	160	12884.8	144	11654.77	166
K03216	11864.1	102	11176.66	238	6533.91	113	7287.32	75	10294.9	101	25470.84	60	14987.75	95	25299.7	122	17582.93	121	5535.55	267	6277.97	134	20487.97	255	8142.92	79	15056.18	111	12642.22	114	8723.44	160
K03217	18252.48	149	13489.36	250	8674.17	150	9636.94	122	17310.93	259	26687.84	105	18062.36	215	30556.95	154	25667.36	167	7450.73	291	9163.22	198	25654.64	336	12017.3	121	15165.85	178	12964.18	145	12253.17	168
K03218	18216.1	149	13446.66	244	7532.25	148	8975.32	108	16948.3	259	26819.84	105	16104.91	215	31759.7	154	19248.26	177	6761.05	291	8661.97	187	25637.47	336	11745.92	107	15159.18	169	12944.22	145	11950.44	171
K03219	0	1	16	103	1318.75	3	37	4	553	10	2074.5	3	7378.74	14	379.91	79	542.25	18	1620.75	16	7	7	6706	3	0	15	3320.5	8	4007.59	0	48	39
K03220	0	1	16	58	927.75	2	15	2	421	9	1430.5	2	4420.41	12	238.91	49	279.5	11	833	13	0	5	6706	2	0	11	2561.5	6	2181.59	0	24	23
K03221	0	0	0	7	232.75	2	0	0	1	1	5.5	1	1318.41	3	12.33	2	0.75	1	4.25	0	0	1	6698	1	0	7	893.5	2	224.92	0	0	1
K03222	0	1	16	58	937.75	2	22	2	464	9	1430.5	2	4832.74	12	347.91	49	344.25	11	861.75	13	7	7	6706	2	0	11	2561.5	6	2181.59	0	24	23
K03223	0	0	16	52	847.75	2	22	2	463	9	1380.5	2	4640.08	9	282.58	48	309.75	11	846.25	13	5	6	6706	2	0	11	1669.5	4	2050.92	0	24	23
K03224	0	1	16	58	1014.75	2	22	2	794	16	1831.5	2	4887.74	16	361.91	65	339.25	14	894.75	21	7	9	6714	2	0	11	2561.5	6	2181.59	0	24	30
K03225	0	0	16	58	1083.75	2	22	2	751	16	1996.5	2	5062.74	16	305.91	65	311.25	14	879.75	21	4	5	6714	2	0	11	2561.5	6	2181.59	0	24	29
K03226	0	1	16	58	934.75	2	22	2	464	9	1430.5	2	4832.74	12	302.91	49	317.25	11	856.75	13	7	8	6706	2	0	11	2561.5	6	2181.59	0	24	23
K03227	0	1	16	58	937.75	2	22	2	464	9	1430.5	2	4829.74	12	347.91	49	332.25	11	861.75	13	7	7	6706	2	0	11	2561.5	6	2181.59	0	24	23
K03228	0	1	16	58	937.75	2	22	2	464	9	1430.5	2	4832.74	12	347.91	49	338.25	11	861.75	13	7	7	6706	2	0	11	2561.5	6	2181.59	0	24	23
K03229	0	1	16	58	954.75	2	22	2	794	16	1666.5	2	4705.74	16	312.91	65	338.25	14	889.75	21	7	7	6714	2	0	11	2561.5	6	2181.59	0	24	30
K03230	0	1	16	58	934.75	2	22	2	464	9	1430.5	2	4832.74	12	347.91	49	344.25	11	861.75	13	7	8	6706	2	0	11	2561.5	6	2181.59	0	24	23
K03231	0	0	0	0	2	0	0	0	7	0	0	0	2	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03232	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03234	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03236	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03237	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03238	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03242	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03243	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03263	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03264	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03265	0	0	0	0	1	0	0	0	7	0	0	0	1	0	0	0	2	0	5	0	2	1	0	0	0	0	0	0	0	0	0	0
K03269	14555.1	126	6952.41	236	4651.71	138	6578.65	85	15082.29	258	26755.84	86	12854	213	20104.53	154	4282.57	54	2722.57	277	6319.05	93	21757.2	266	10851.42	84	15148.34	142	12899.59	114	10365.47	169
K03270	14537.1	126	6919.41	235	4908.37	138	6670.65	84	15507.29	258	26755.84	86	13019.17	213	20173.53	154	4455.49	55	3005.82	278	6369.55	107	21755.2	266	10660.42	84	15148.34	142	12867.59	114	10319.47	169
K03271	6395.89	43	4366.91	121	4007.41	32	6495.28	61	6932.91	48	16392.46	27	7928.24	52	3105.36	96	3962.5	40	2312.69	124	5482.85	128	13937.63	52	7421.55	39	4845.67	56	5712.92	44	4968.43	85
K03272	4822.98	39	3703.32	62	2894.56	14	4157.52	24	2352.17	11	3828.84	18	6444.54	13	1622.53	55	2911.99	20	1421.95	57	3102.85	51	11546.7	32	3988.88	23	3143.67	25	3644.92	36	1650.1	34
K03273	7321.77	45	5102.03	115	3810.36	32	5720.4	55	6286.79	45	16074.84	31	8484.83	49	2400.86	93	3626.16	46	2120.4	123	4995.43	106	21135.75	53	7404.8	45	4832.17	55	5645.42	54	4455.68	84
K03274	3666	25	3398.5	9	2456.46	15	1533.5	16	1685.5	3	757.38	11	4633.74	7	554.83	7	2631.92	13	741.16	21	1673	66	3203	28	4310.5	9	938	10	351.92	18	687.5	11
K03275	2104	21	1729.5	0	183	5	483.5	4	737	2	410.5	10	1101.71	3	176	6	1850	2	2	18	277.5	3	2606	11	1433.5	6	0	3	0	16	166.5	5
K03276	4208	41	3459	0	0	9	967	8	1474	4	821	20	0	6	16	11	0	1	0	36	545	1	5212	22	2867	12	0	6	0	32	313	9
K03278	0	0	0	0	157	0	0	0	0	0	0	0	1101.71	1	168	0	1850	2	0	0	5	1	0	0	0	0	0	0	0	0	10	0
K03279	2104	21	1729.5	0	157	5	483.5	4	737	2	410.5	10	1096	3	176	6	1850	2	0	18	277.5	1	2606	11	1433.5	6	0	3	0	16	166.5	5
K03280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03281	29351.5	227	15377.67	68	2886.33	145	5962.67	117	16832.9	409	13598.64	162	6600.99	347	25173.99	133	5126.76	65	2059.33	217	7373	75	24336.6	231	13393.5	111	8115.17	192	5805.26	112	12249.57	117
K03282	18167.72	149	13361.04	244	6655.58	148	8757.7	108	16853.68	259	26819.84	105	15895.88	215	29261.12	154	18400.68	151	6200.18	290	8417.72	157	25624.97	336	11738.54	107	15157.18	169	12938.22	144	11950.44	171
K03284	22357.44	189	22483.45	333	9780.48	177	16655.88	189	22852.71	329	37206.67	121	23301.96	270	29673.32	210	22269.42	175	7530.14	338	14635.23	201	36311.6	392	20859.42	160	18943.02	213	15572.89	180	16511.54	243
K03285	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0.75	0	1.75	0	0	1	0	0	0	0	0	0	0	0	0	0
K03286	28785.15	219	12441.07	443	12744.69	272	12334.18	177	26062.86	576	40885.84	196	26035.27	480	55601.7	255	8943.83	144	6117.06	451	11537.01	176	36167.03	609	18834.04	146	29246.01	246	23276.76	240	22007.16	275
K03287	0	0	0	0	52.5	0	0	0	86	0	0	0	15.5	0	8.5	0	2.5	1	130.09	0	0	2	0	0	0	0	0	0	0	0	0	0
K03288	2148.62	21	1793.38	118	1976.76	13	1206.38	15	2291.12	62	5098.09	12	7224.74	47	456	69	2443.17	19	1578.12	33	725.25	11	4007.38	13	1776.75	19	5667.17	13	5297.5	17	1044.75	44
K03289	2104	21	1729.5	1	16.38	5	483.5	4	737	2	613.88	10	376.12	3	8	6	0	1	0	18	274.5	1	2609	11	1433.5	6	40.5	3	86	16	156.5	7
K03290	2104	21	1729.5	6	12	5	483.5	4	738	2	410.5	10	150.42	6	9.33	7	0	1	0.83	18	272.5	1	2606	11	1433.5	6	892	5	130.67	16	156.5	5
K03291	4208	41	3605	9	1494.51	9	967	8	1475	4	1366.26	20	3617.74	9	432.33	13	2004	3	23.83	36	552	2	5214	23	2867	12	974.5	8	396.92	32	323	14
K03292	11480.5	104	9002.33	22	1267.17	86	4700.5	73	12638.19	251	9126.14	81	4737.43	175	3475.75	74	1961.08	54	2460.49	152	3909	46	14906.05	138	8319.63	80	574.67	106	1151.75	108	6738.25	77
K03293	5170.65	87	4141.57	249	4529.03	30	7422.83	43	4296.05	68	8873.17	28	17105.3	70	8831.9	121	19900.67	78	3814.56	91	4782.07	14	19976.57	33	6312.87	45	9592.35	66	9972.97	48	3554.3	83
K03294	17752.79	125	9908.2	132	6859.72	266	7287.88	154	23416.72	581	23716	150	20336.89	430	63079.83	151	36121.02	242	8255.64	316	9221.42	192	14589.56	400	17864.92	156	14951.51	233	12229.8	157	20072.47	199
K03296	30528.78	237	27250.33	314	7433.32	410	19359.3	293	43816.84	1000	54001.34	223	16960.53	721	53693.73	367	12869.5	244	8106.11	488	20493.12	272	36018.2	603	35986.84	240	20637.01	412	20832.59	290	34257.33	384
K03297	21648.51	195	11582.67	382	4961.43	158	7449.08	93	15822.89	406	30286.58	114	14969.58	338	24134.11	208	2086.48	63	2604.65	311	7071.8	62	29075.85	405	7708.29	95	22325.84	183	17134.59	137	12317.12	204
K03298	1857.55	37	858.2	31	521.82	10	104.62	3	1298.12	12	10219	4	441.45	18	3153.58	23	839.16	18	585.27	17	111.58	10	2043.77	56	558.05	7	1242	24	932	15	647.73	47
K03299	6216.57	66	5398.38	222	6605.29	24	13279	85	5590.8	43	19447.92	33	18568.81	46	9504.46	211	20730.7	129	4919.32	151	8893.65	33	10896.47	55	11667.17	54	7920.34	81	10993.92	61	5600.39	150
K03300	4497.2	35	2860.65	224	3267.64	25	6229.2	35	2834	62	7511.58	21	12415.58	53	17846.15	123	7537.32	54	3239.54	83	4020.2	14	17445.4	76	4436.5	37	9633.17	40	10661	45	2817.03	73
K03301	73	1	92.5	10	158.5	2	144	1	108.5	1	584	1	46.5	2	1328.25	1	275.84	4	201.75	2	143	15	90.5	1	59	2	1714	2	1588	1	109.5	3
K03303	3621.56	39	3242.99	167	2253.73	22	4561.85	30	3927.72	48	17325.79	20	8557	55	5064.28	108	1845.92	53	1866.52	60	3260.52	29	18609.52	31	4333.09	38	6525.51	40	8924.67	41	3882.74	90
K03304	2871.5	26	2580.5	2	782.38	10	1247.5	6	2104.5	2	715.88	28	2308.16	4	358	6	6313.5	12	396.83	29	1045.5	16	3648.5	115	1977	12	46.5	8	86	46	228	6
K03305	28637.62	228	14220.88	202	5570.74	329	8078.18	159	27603.83	665	26734.04	207	18368.28	505	57782.08	184	12631.39	133	5861.99	469	8310.59	107	28533.43	534	18116.88	186	21911.67	264	17191.84	213	21962.66	245
K03306	17314.1	182	20840.66	258	7226.52	153	9717.55	118	16038.59	257	26060.96	105	14397.54	211	28898.03	148	19592.69	149	5879.01	280	9286.97	148	25599.7	356	11073.92	116	14352.84	190	13070.92	141	12167.3	162
K03307	14688.48	109	8951.49	153	6134.33	107	7774.42	119	17617.36	344	10873.59	88	15493.6	254	27202.78	142	19184.41	150	5620.08	111	7762.1	131	22853.58	150	16769.01	84	7424.67	136	6974.17	124	10438.35	85
K03308	3328.69	53	2050.57	136	6633.02	29	4158.79	24	5563.73	83	6729.58	11	9021.23	61	2362.87	49	2943.84	34	1488.82	65	3060.97	48	3381.03	79	2856.01	15	6883.84	48	5793.42	40	3326.47	28
K03309	2408.1	18	2028.2	6	558.14	5	3136.4	14	919.9	8	1205.25	7	1845.75	7	1043.7	17	422.66	9	261.25	35	2155.6	10	1331.2	10	2173	4	377.5	15	270	15	1354.76	10
K03310	7999.57	82	5388.94	124	8058.11	63	5128.08	62	9927.45	143	10227.1	34	12064.31	113	6404.54	78	5019.1	59	3815.35	97	3855.14	84	14704.15	176	7745.93	64	5963.68	94	6013.3	67	5304.46	63
K03311	10459.6	114	4495.07	159	4664.61	67	4078.55	41	7714.53	228	8727.84	56	13944.11	185	7565.78	104	9684.26	63	3456.74	112	3179.22	18	16951.16	105	4794.29	55	8922.18	103	7330.22	54	5187.95	71
K03312	5702.5	60	3190.21	158	2875.65	34	828.75	10	3994.75	87	18478.84	17	4986.41	80	623.16	60	1394.34	8	629.21	59	902.37	10	7155.12	126	2307.29	20	8470.84	39	5466.09	55	2341.12	73
K03313	22970.77	165	9934.28	152	4462.05	117	8199.57	121	14282.3	291	22977.84	135	9784.38	257	29403.78	178	16872.66	138	4943.75	235	8594.27	79	25018.17	264	13580.17	115	10411.34	175	10083.59	124	11797.3	150
K03314	3503.98	37	2808.32	8	1615.9	10	3541.52	17	1384.52	3	2605.84	17	2245.7	6	63.03	9	273.32	2	32.95	43	2251.35	4	10089.7	20	3549.88	18	977.67	21	316.92	31	1312.1	11
K03315	2106.38	21	1829.78	2	1882.32	5	518.92	4	3075.26	2	685	10	3001.03	3	75.25	6	902.94	9	585.32	20	302.25	11	2662.34	18	1451.88	7	6.84	4	105.59	17	159.16	18
K03316	32436.49	264	21536.19	389	7388.06	441	15943.18	217	27265.93	448	51380.09	251	19651.85	375	112391.31	253	18428.99	171	7412.68	788	15339.87	117	54687.12	1029	31965.42	249	40488.34	281	34016.38	332	28159.68	414
K03317	1539.88	4	1822.62	17	4007.62	2	901.62	12	1287.52	2	1143.14	1	9211.07	6	1329.58	4	1888	19	1460.12	3	1285.92	53	620.5	24	2752.38	4	1358.5	5	955.67	2	483.5	10
K03318	2104	21	1729.5	0	0	5	483.5	4	737	2	410.5	10	0	3	8	6	0	0	0	18	272.5	1	2606	11	1433.5	6	0	3	0	16	156.5	5
K03319	7101.29	103	6294.21	63	205.02	107	2527.38	34	8147.62	140	9266.88	55	636.67	108	16121.16	49	411.33	10	244.09	172	1743.25	4	9990.55	182	6964.92	51	6929.5	73	5261.17	88	5869.91	83
K03320	30979.58	247	24589.23	524	13463.92	234	13483.94	177	28015	512	42718.67	164	33169.32	423	33325.81	302	40125.4	226	10274.58	516	12489.73	274	49371.41	511	18226.88	179	27724.19	287	23792.14	229	18163.28	284
K03321	31026.26	176	19371.98	388	10747.95	229	17215.08	221	31118.97	457	47237.81	177	26873.16	374	30112.25	280	21616.31	198	8754.64	577	14713.04	226	49220.21	531	20134.13	196	22445.18	290	19257.05	243	19530.83	286
K03322	12262.6	105	10767.28	95	4118.47	110	6450.57	61	10336.81	173	10023.46	87	11311.98	138	21711.37	99	10237.5	74	3354.61	195	5888.35	59	10816.97	250	9944	60	8729.01	92	8159.55	105	7889.4	105
K03324	9677.87	77	10305.73	144	2178.9	38	8929.57	59	9136.84	64	17066.21	52	5338.12	57	3182.31	103	3630.63	36	1550.58	167	7285.78	54	17744.27	121	7194.17	47	5075.84	86	6966.96	96	6518.73	83
K03325	18816.83	165	6158.51	236	4274.19	148	4027.5	85	15004.14	296	22675.5	112	7303.24	243	48456	116	3465.51	66	3196.3	290	5942.24	116	23457.17	388	8361.24	100	15018.17	181	12005.71	138	11350.98	124
K03326	10520	102	8650.5	3	1607.54	21	2495.5	18	3888.14	9	2668.88	49	4071.13	13	62	27	152.67	3	21.83	90	1443.5	3	13030	55	7167.5	28	45.5	15	274.79	80	790.5	37
K03327	23491.68	203	17556.1	304	9001.11	162	15105.51	127	20658.11	247	31756.76	140	21875.54	214	22237.35	225	8458.13	104	6127.36	373	12277.84	168	43896.2	423	17272.8	133	18627.52	197	17883.18	196	13195.81	215
K03328	4476.95	32	6571.21	67	1746.46	49	2494.28	35	6720.03	172	2826	25	5039.24	119	2458.34	38	1873.43	51	2858.64	32	2531.17	37	11616.38	86	3895.25	34	3283.34	47	2157.63	41	4397.75	27
K03329	2106	21	1729.5	0	0	5	485.5	4	740	2	410.5	10	5.71	3	8	6	0	1	0	18	272.5	1	2631	11	1433.5	6	2	3	0	16	156.5	5
K03330	0	0	0	0	1	0	0	0	39	0	0	0	6	0	0	0	2	0	5	0	2	1	0	0	0	1	0	0	0	0	0	0
K03331	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03332	977	12	1294	6	876.73	34	1262.6	26	4702.75	119	1345	17	2495	77	2022.67	23	6709	31	665.33	14	1773	14	1127	30	3869	20	133	36	321	20	2874.4	10
K03333	2109	36	916.75	45	789.89	65	708	18	2886	2	3118	20	867.47	4	16517.25	2	1180.51	29	945.75	124	576	15	1318	191	2174	31	5801	33	4523	42	2850	37
K03335	8403.84	74	15637.46	69	2731.89	25	8372.33	86	5256.78	17	3145.89	29	10086.94	22	4663.53	60	17263.48	65	1910.05	65	6830.1	22	7088.56	105	14889	29	1862.17	38	2376.63	44	4961.67	37
K03336	5512.84	54	8437.46	66	1941.13	18	6399.33	50	3414.64	16	2728.13	24	7037.53	21	3876.28	59	9254.49	48	1577.71	60	4585.1	17	5186.56	48	6645	20	1764.17	31	2202.34	37	3647.67	37
K03337	5514.84	54	8437.46	66	1964.13	18	6436.33	50	3417.14	16	2728.13	24	7012.7	21	3800.28	59	9159.82	45	1497.04	60	4590.43	14	5186.56	48	6645	20	1764.17	31	2202.34	37	3647.67	37
K03338	5512.84	54	8437.46	66	1943.13	18	6436.33	50	3413.14	16	2728.13	24	7074.03	21	3421.28	59	9191.82	45	1523.04	60	4590.43	15	5186.56	48	6645	20	1764.17	31	2202.34	37	3647.67	37
K03339	0	0	3	0	27.17	0	7	1	0	0	0	0	0	0	5	0	44	1	57	0	0	1	0	0	1	1	2	1	2	0	0	0
K03340	63.17	1	249.5	51	193	7	287	3	2146.04	32	1593	1	68.34	28	1621.33	16	348.33	6	262.5	8	522.83	2	863.67	2	358.67	3	1704	11	2008.29	10	1355.33	6
K03342	2293.96	5	1032.04	68	1022.7	11	1339.48	28	3530.62	44	12599	9	226.13	50	2032.99	41	1036.41	17	877.78	66	1582.75	37	4634.72	17	1473.09	18	2294	33	2538.5	13	3003.81	52
K03343	2	0	8.75	2	636.75	1	11	1	11	1	2	0	1893.33	1	2241	0	6366.92	20	435.67	1	2	2	4	1	3	1	0	1	10	0	4	1
K03346	0	0	19.33	1	322.44	1	8	1	18.01	1	0	0	434.16	0	10	1	257.76	2	246.26	1	3.75	3	0.67	1	13.5	1	3.67	1	5.96	1	2.73	2
K03366	3262	20	5736.88	82	992.35	20	868.25	7	1214.09	65	4795.38	8	3301.45	58	1460	25	494.1	17	1275.59	19	790.12	16	5069.72	68	334.12	9	4594.5	9	2956.29	22	1003.92	37
K03367	0	0	23.33	1	193.35	2	8	1	14.01	1	0	0	782.83	1	36	1	229.43	1	244.01	1	3.75	2	5.67	1	13.5	1	3.67	1	3.96	1	2.73	2
K03379	3573	39	1321.09	163	1911.5	31	71.5	7	2559	111	5533	7	5347.5	93	1512	31	888	10	487.5	40	127.25	14	5923.74	113	903.41	11	8746.67	26	4894.17	32	1035.74	31
K03380	294.17	6	4766.83	14	666.4	1	179	2	272	11	344	6	1933.83	16	4696.33	3	6759	57	749.97	3	112	4	1464.67	11	259.67	2	528	4	386	5	355.33	3
K03381	6089.6	75	2140.84	295	3648.93	52	4694.15	22	3597.65	172	8099.46	13	12124.87	127	1708.78	86	6827.32	23	539.3	72	3880.63	23	8923.56	71	3169.36	17	13978.17	47	10707	43	3297.96	54
K03382	0	0	0	0	1.5	0	19	0	0	0	0	0	0	1	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	0	0
K03383	173	6	4678	1	150	0	157	1	15	0	0	5	125	1	709	0	458.5	8	274	2	85	5	374	10	0	1	0	1	0	4	46	0
K03385	2104	21	1737.5	2	1302.49	5	561.5	4	2452	2	549.76	10	1863.25	3	19	6	154	2	24.83	18	359.5	3	2609	11	1433.5	6	1.5	4	94.25	16	164.5	10
K03386	20819.46	166	11950.98	362	9704.49	166	10513.71	106	18096.34	316	35430.68	107	20037.11	262	25899.15	213	11695.25	111	6311.82	343	9004.61	171	34908.79	346	14718.3	110	21509.35	166	18652.47	162	12347.49	229
K03387	9925.1	179	5474.12	237	4917.14	65	5157.9	49	10713.05	97	19426.84	34	10702.45	91	7781.7	112	9615	64	2926.92	174	4102.59	58	17826.49	156	6184.54	57	9422.51	133	9106.88	74	4747.82	99
K03388	36	1	1	0	51.75	1	0	0	316.15	0	0	1	49.17	0	0	0	1	1	20.5	4	10	3	32.5	1	0	1	0	1	0	1	0	1
K03389	12	1	1	0	15.5	1	0	0	309.15	0	0	1	32.17	0	0	0	1	1	10.25	2	8	2	12.5	1	0	1	0	1	0	1	0	1
K03390	12	1	1	0	16	1	0	0	309.15	0	0	1	28.17	0	0	0	1	1	10.25	2	8	1	12.5	1	0	1	0	1	0	1	0	1
K03391	0	0	0	0	2	0	0	0	0	0	0	0	3.33	0	3	0	35	1	11.5	0	0	2	0	0	0	0	0	0	0	0	0	0
K03392	2071.5	33	18726	1	369.17	14	1260	3	250.5	0	0	18	555.49	2	2135	0	581.84	16	298.83	6	993.34	19	2843.5	38	111.5	3	0	5	0	16	552.5	1
K03394	6190.77	58	8521.53	64	1550.45	20	5162.57	30	4435.94	19	13781.96	37	3211.38	26	1732.28	75	1073.15	33	1796.75	69	3942.27	46	14345.47	90	4469.17	32	2692.84	43	3633.96	61	2774.5	74
K03395	2	0	0	0	5	0	2	0	3	0	0	1	1.5	1	0	0	80	1	19	0	0	1	25	1	0	1	2	1	2	0	0	0
K03396	1721.12	14	411.88	5	239.5	7	1725.88	9	1252.62	3	588.83	9	34	5	69	3	309.67	2	34.12	6	1460.75	3	1727.88	53	333.75	4	52.17	6	70.5	15	989.75	3
K03397	0	0	0	0	165	0	0	0	330	7	566	0	237	4	63	16	0	3	28	9	0	1	8	0	0	1	0	0	0	0	0	7
K03399	2110	21	1729.5	1	58.27	5	483.5	4	832.14	2	613.88	10	84.3	3	8	6	5	1	24.75	18	274.5	4	2608	11	1533.5	6	40.5	3	118.29	16	179.5	5
K03402	2142.38	21	1814.86	12	2985.74	6	1134.72	18	2827.01	3	758.76	10	6385.86	6	7314.75	7	15437.76	78	2596.67	19	788	27	2620.51	18	1722.88	21	946.01	14	346.51	17	465.3	15
K03403	297	3	426	0	782.5	12	371	1	736	0	0	9	69	1	28.33	0	239	4	739.5	6	403	20	377	52	208	4	0	6	0	15	28	0
K03404	746	4	1197	1	687.14	13	723	12	1315	0	0	9	313.47	1	393	0	807	8	965.75	7	904	27	448	68	2988.5	6	0	7	32	16	336	1
K03405	8608.77	69	4282.03	96	2528.63	110	5081.4	56	8911.9	180	10772.08	73	6205.5	145	17914.78	95	7888.32	61	3262.05	176	4930.6	66	14019.87	228	8308.67	62	8285.67	93	8069	86	7492.93	93
