function	S1_S16	S1_m	S2_S16	S2_m	S3_S16	S3_m	S4_S16	S4_m	S5_S16	S5_m	S6_S16	S6_m	S7_S16	S7_m	S8_S16	S8_m	S9_S16	S9_m	S10_S16	S10_m	S11_S16	S11_m	S12_S16	S12_m	S13_S16	S13_m	S14_S16	S14_m	S15_S16	S15_m	S16_S16	S16_m
K12448	1	1	194	1	10.5	2	0.67	1	44	1	0	1	57	1	304.67	1	73.5	2	53	2	55.67	3	72	1	41	1	2.67	1	5.67	1	94.67	1
K12450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12452	57	1	510	58	535.74	3	64	2	320.5	6	4035.25	2	2446.41	10	411.33	41	351.92	9	814.5	5	22	6	62	5	0	4	2266	4	2467.67	2	48	40
K12453	0	0	0	6	8	1	0	0	1	1	0	1	136	3	1.33	2	0	1	0	0	0	1	0	0	0	1	892	2	130.67	0	0	0
K12454	1163	4	1948	1	42	3	810	30	1013	0	0	2	67.33	1	12	0	308.16	2	319.59	5	988	12	227	45	7826	6	0	2	0	4	570	1
K12460	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0
K12466	0	0	0	0	20	0	0	0	0	0	0	0	36	0	3	0	26	1	29	0	0	1	0	0	0	0	0	0	0	0	0	0
K12472	0	0	0	0	81.4	0	0.6	0	0	0	272	0	932.33	0	0	0	1.5	1	34.33	0	0	1	0	0	1	1	0	1	0	0	0.4	11
K12500	2191	22	1835.5	7	698.38	5	588.5	4	750	3	749.88	15	3836.16	6	539.33	7	2228	20	369.42	19	413.5	11	2642	19	1494.5	7	946.5	5	222.67	26	218.5	10
K12502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0
K12503	40	1	45.75	7	1138.4	2	669	14	370	1	6	1	2198.08	1	5059.67	0	7399.09	55	1195.72	1	505	8	16	1	260.5	14	3	9	25	1	297.67	1
K12506	3619	24	6402.5	5	1344.53	18	1670.67	10	1381	1	60	20	440.16	3	2750	1	1158	30	1261.5	14	1782.67	66	3862.6	70	619.5	10	6.17	22	23.67	30	1314.57	1
K12507	2106	21	1729.5	0	47	5	485.5	4	740	2	546.5	10	469	3	11	6	12	1	19	18	272.5	2	2631	11	1433.5	6	2	3	0	16	156.5	10
K12508	4520.34	13	5560.29	95	1089.25	17	521.25	37	5722.75	36	4921	22	2743.33	60	1672.91	56	719.5	20	1234	133	881.12	32	8706.46	39	1832.46	30	3629	44	3450	12	1937.78	36
K12510	6665.78	57	8987.57	104	4863.47	33	10463.56	78	4861.04	35	5085.08	34	11379.73	50	14392.47	59	34419.32	173	5201.55	77	7674.04	98	14021	88	6407.84	58	4506.17	79	4584.67	61	6298.03	37
K12511	6587.78	57	8866.82	97	3759.49	32	9700.56	64	4462.04	34	5079.08	34	9300.07	50	8307.97	59	22093.23	124	3214.08	76	7056.04	90	14000	88	6147.34	44	4503.17	70	4559.67	61	6000.36	36
K12512	0	0	0	6	8	1	0	0	1	1	0	1	141.71	3	1.33	2	0	1	0	0	0	1	0	0	0	1	892	2	130.67	0	0	0
K12513	0	0	0	6	8	1	0	0	1	1	0	1	141.71	3	1.33	2	0	1	0	0	0	1	0	0	0	1	892	2	130.67	0	0	0
K12514	0	0	0	6	8	1	0	0	1	1	0	1	141.71	3	1.33	2	0	1	0	0	0	1	0	0	0	1	892	2	130.67	0	0	0
K12515	0	0	0	0	0	0	0	0	0	0	0	0	5.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K12516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K12517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
K12518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
K12519	0	0	0	6	47	1	0	0	1	1	136	1	602	3	1.33	2	0	1	0	0	0	1	0	0	0	1	892	2	130.67	0	0	6
